timestamp,tweet_text,Location
2019-02-26 09:31:56+00:00,"b'Sometimes as a person who lives daily with Bipolar Disorder, I often wonder what\'s the ""right way"" to seek the support of the people who matter to me,  There\'s none, so I\'ve been learning. No ""right words"", it\'s... https://t.co/oiM04yQ2AT'",Singapore 
2019-03-30 14:40:08+00:00,b'Tell Me About Bipolar Disorder https://t.co/WbrXWjmWJt',"193 Oak st. #1; Newton, MA "
2019-03-30 14:11:43+00:00,b'Bipolar Awareness Day - Famous People with Bipolar https://t.co/9M0nVKzmU9',Singapore
2019-03-30 09:01:28+00:00,"b'""My first reaction to the diagnosis was disbelief. After all, this happens to others, doesn\xe2\x80\x99t it? Not to me! ""  Swati Agrawal on how she eventually got lucky with the right doctor who helped her reach a diagnosis of Bipolar Disorder, coming to terms... https://t.co/QxgxpbkSl3'",India and Singapore 
2019-04-29 05:43:03+00:00,b'What kind of nonsense bipolar weather is this',Singapore
2019-04-28 20:40:27+00:00,b'Bipolar tk style',"North Region, Singapore"
2019-04-27 22:45:12+00:00,b'I wish being bipolar gave you a little bit of leeway but it doesn\xe2\x80\x99t and I wish it did. #peoplewillneverunderstand',Forever Changing
2020-03-30 12:19:56+00:00,b'KAU BIPOLAR KE APA',"West Region, Singapore"
2020-03-30 05:55:21+00:00,"b'@deppimentel Quem? A bipolar Xanaina Pascoaleta? Sua politiqueira de merda, tra\xc3\xadra sem dignidade. As urnas cobrar\xc3\xa3o essa hipocrisia. Demagogos e c\xc3\xadnicos n\xc3\xa3o prosperar\xc3\xa3o.'",The Woodlands - TX
2020-03-29 15:55:35+00:00,b'@racheltjhia Bipolar',Singapore
2020-04-29 06:12:32+00:00,"b'\xf0\x9f\x91\xa5 Bipolar Disorder\xf0\x9f\x91\xa5  Another Wednesday, another #WellnessWednesdays! This week we\xe2\x80\x99re going to discuss about Bipolar Disorder, a mental illness that brings severe high and low moods.  #remind #singapore #mentalhealth #mentalhealthawareness #bipolar #disorder #selfcare #health https://t.co/6HAKspIApQ'",Singapore
2020-04-29 06:09:13+00:00,"b'\xf0\x9f\x91\xa5 Bipolar Disorder\xf0\x9f\x91\xa5  Another Wednesday, another #WellnessWednesdays! This week we\xe2\x80\x99re going to discuss about Bipolar Disorder, a mental illness that brings severe high and low moods and changes in sleep, energy,\xe2\x80\xa6 https://t.co/lhdqLiZhjv'",Singapore
2020-04-28 22:13:34+00:00,b'hais so bipolar',"West Region, Singapore"
2020-04-27 17:25:44+00:00,"b'@jaimevalentine The Spanx founder on LinkedIn just listed all the super ambitious things she planned during lockdown and then said, \xe2\x80\x9cTurns out, I\xe2\x80\x99m just going to try to keep my kids alive.\xe2\x80\x9d  My bipolar 18yo is so stressed we\xe2\x80\x99re getting a MH evaluation today.  You\xe2\x80\x99re not alone.'",Fox River Valley/IL
2020-05-29 20:30:20+00:00,"b'\xe2\x80\x9cDuring this time of #pandemic #quarantine, especially, check-in with one another. There are so many who are hurting and not doing well. There\'s more than just the virus that is deadly"": https://t.co/xkCHbsSlg1 @klclark525 #MentalHealthMatters #Bipolar #schizophrenia'",Singapore
2020-05-29 17:30:35+00:00,b'Bipolar .. https://t.co/H2sE9lZe9l',Singapore
2020-05-29 08:23:35+00:00,b'Bipolar .. https://t.co/xa9E6E2xM7',Singapore
2020-05-29 07:18:53+00:00,b'This bipolar weather will make me sick \xf0\x9f\x98\xb7\xf0\x9f\x98\x91',Singapore
2021-01-30 14:39:55+00:00,b'@Bipolar_B \xf0\x9f\x92\x80',"Yishun, Singapore"
2021-01-30 09:00:56+00:00,b'@Eshyyyy HAHAHAHAHH YA SIA BIPOLAR DOG might have said some shit......',"Central Region , Singapore"
2021-02-27 01:43:18+00:00,b'Bipolar bodoh this hafiz',Singapore
2021-02-26 07:22:36+00:00,b'what a fcking week i was diognized for having bipolar and i was fcking slaped n abused by @suufianaaaa',"North Region, Singapore"
