timestamp,tweet_text,Location
2019-02-27 23:36:36+00:00,b'The brain is actually affected by depression. Individuals with depression have been found to have reduced prefrontal context activity and smaller hippocampus (hippocampi?) volume. https://t.co/AzoURpPsCe',Singapore
2019-02-27 19:55:46+00:00,"b""Existential Depression: 9 Signs You're Gifted | Depression Alliance https://t.co/ymwNtvSUev""",Singapore
2019-02-27 16:34:48+00:00,"b'and seem to have a lack of motivation for continuing in life.   Again, I don\xe2\x80\x99t think this is me being suicidal or is it depression. I have no idea what it is. These random thoughts just surfaces when I\xe2\x80\x99m alone. I don\xe2\x80\x99t seem to be able nor do I really feel like talking about it.'",Singapore - 新加坡 - シンガポール
2019-02-27 16:32:16+00:00,"b'Truthfully, no idea what am I feeling right now, nowadays.   I don\xe2\x80\x99t think I have depression and I don\xe2\x80\x99t really think it\xe2\x80\x99s suicidal thoughts.   I feel tired and I question why am I doing the things I\xe2\x80\x99m doing now. Why go through this and what\xe2\x80\x99s the meaning behind all this.'",Singapore - 新加坡 - シンガポール
2019-02-27 15:18:02+00:00,"b'I\xe2\x80\x99ve lost 4 souls to depression &amp; yet I can never get an answer to \xe2\x80\x98why did they do it\xe2\x80\x99, it\xe2\x80\x99s never easy...'","West Region, Singapore"
2019-02-27 14:47:41+00:00,"b'I just hope people don\xe2\x80\x99t romanticize depression. It\xe2\x80\x99s an actual illness. Many Tom, Dick and Harry nowadays regard sadness as depression. Pls learn the difference. I\xe2\x80\x99m just worried that this term would be overused to the point where it no longer holds any value\xf0\x9f\x98\x94'","North-East Region, Singapore"
2019-02-27 14:19:26+00:00,"b""Depression is a deadly illness. We dont usually see the consequences until its too late.   To anyone who feels that they know of someone who's going through a tough time, stand with them. Let them know that they're not alone and that they can trust you to share their issues with.""","Sembawang, Singapore"
2019-02-27 13:23:59+00:00,b'woohoo depression vibes \xf0\x9f\x8e\xb6',Singapore
2019-02-27 12:21:39+00:00,"b'I think the biggest problem about depression is that very often, you can\xe2\x80\x99t tell that the person is depressed.'","West Region, Singapore"
2019-02-27 12:00:01+00:00,b'Founder loneliness- one of the leading causes for founder depression- @Forbes has some insights into how we can combat it.\xc2\xa0 https://t.co/WcOMtlJnGb  #startup #earlystageinvestors #venturecapital #angelinvestors #VC #entrepreneur #startupadvice #founderadvice #founder',Singapore
2019-03-30 16:47:56+00:00,b'Depression is not a joke. You may see someone smiling but inside they\xe2\x80\x99re dying.',Singapore
2019-03-30 15:38:37+00:00,b'Inbreeding depression comes from genetic load which accumulated over time.',Singapore
2019-03-30 09:40:04+00:00,"b""When you just walk away from me...   Try experiencing depression and anxiety attacks. Maybe then you'll understand how I feel.""",Singapore
2019-03-30 08:07:12+00:00,b'@iFrostSJ @samoyedchae I\xe2\x80\x99d probably win cause the sigaporean dream is depression and an early death \xf0\x9f\x91\x8a\xf0\x9f\xa4\xaa',Singapore
2019-04-29 23:27:07+00:00,b'Answer to Why do some people recover from depression and get over it while I struggle for 10 years and see no progress? by Michael Meissner https://t.co/wveMY2gdEf',Singapore
2019-04-29 21:15:52+00:00,b'Via @pickthebrain.com: 9 Facts That Exercise Helps Reduce Depression and Anxiety https://t.co/tcvQ22kW7d #DIY #hacks',Singapore
2019-04-29 18:44:19+00:00,b'just checked my grades time for a depression nap',Singapore + saudi + canada 
2019-04-29 16:05:24+00:00,b'@aliaa08 Duniya bhar ki takleefe in paise waalon ko hi aati hai.. And they want more money in the name of depression \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',Singapore
2019-04-29 14:29:20+00:00,"b'struggling with depression, insecurity, body issues, anxiety, and the constant state of existential crisis. wallowing in self pity and sinking deeper. I\xe2\x80\x99m not good enough.'","West Region, Singapore"
2019-04-29 14:09:55+00:00,"b""Friends ask me why I'm desperate to move abroad. I normally say that I want to experience life elsewhere. The truth is, I just want to get away from family. In therapy, I learned the biggest factor causing my anxiety and depression is family.""",Singapore
2019-04-29 13:57:09+00:00,"b'SRC May Newsletter: Accepting new referrals, new polyamory group, salon focusing on countertransference in treatment of perinatal depression &amp; more.. - https://t.co/tLT234p44o https://t.co/lmmnoERWbP'","West Newton, MA"
2019-04-29 12:52:43+00:00,"b""Having a post #endgame depression....  My all time favourite Marvel superhero is no more although I already know the outcome of the end before watching it as I've read the comic strip but it is just sad....  Marvel,... https://t.co/pKLwIaxTKN""",Singapore 
