timestamp,tweet_text,Location
2019-02-27 20:07:06+00:00,"b'Listen to @MarvinSordell (on loan at Northampton Town from Burton Albion) who bravely spoke out about depression...""a passenger on my own journey"" https://t.co/Ar8GhayLhO https://t.co/H0f9nQIUDV'","London, UAE, Barcelona"
2019-02-27 19:32:17+00:00,b'@susannahherbert @rioferdy5 @PoetryDayUK Maybe worth asking @MarvinSordell (on loan at Northampton Town) who has written movingly about young male depression. Listen here. https://t.co/Ar8GhayLhO',"London, UAE, Barcelona"
2019-02-27 14:02:46+00:00,"b""@thefacts_yt it's just the depression, but okay""",United Arab Emirates
2019-02-27 13:17:57+00:00,b'@cinemaparking @Hamdanious @FilthyGear He doesn\xe2\x80\x99t understand the trauma I go through when I get ignored by him and it really doesn\xe2\x80\x99t help my self esteem especially with my social anxiety and depression I\xe2\x80\x99m going through and sometimes I really just wanna shut myself out because I get neglected by Hamdan',United Arab Emirates
2019-02-27 12:56:59+00:00,"b'This depression attack is from skipping my morning workout, knew I was gonna regret it! It\xe2\x80\x99s amazing how my training sessions work as natural endorphins.'",Abu Dhabi
2019-02-27 12:43:26+00:00,b'If these two years do not go by faster my depression is going to be in a whole new level',United Arab Emirates
2019-02-27 12:28:42+00:00,b'@MajdMni Im using this\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d what should I call my blackheads thou? Depression dots?',Ohio | Dubai | Aden
2019-02-27 12:26:21+00:00,"b""She's hurt. She Cries. But you can't see the depression in her eyes. Because she smiles.""","Ajman, United Arab Emirates"
2019-02-27 12:24:52+00:00,b'@M00SM00SM00S Depression Rice',"Dubai, United Arab Emirates"
2019-03-30 18:21:40+00:00,b'I need y\xe2\x80\x99all to stop thinking my depression has anything to do with yall\xe2\x80\x99s crusty ass. It\xe2\x80\x99s an ILLNESS I\xe2\x80\x99ve been fighting for 24 years. Take your egotistical needs elsewhere. Perioddd.',Abu Dhabi
2019-03-30 17:31:40+00:00,"b'Keep Jasmine Plant in Your Room. It Reduces Anxiety, Panic Attacks and Depression https://t.co/6dPXp54TH1'",Abu Dhabi Dubai London LA NYC
2019-03-30 17:17:04+00:00,b'@NooNii_Lee OH MY GOD IS THIS NOURA COMPLIMENTING ME ? \xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f  Plastic surgery plans: cancelled.  Depression: cured.',United Arab Emirates
2019-03-30 17:13:31+00:00,b'thank god for depression',Abu Dhabi 
2019-03-30 17:07:46+00:00,"b""@loulavellena @WeinsteinEdu Not attending school is often related to medical reasons such as depression and anxiety. Parents and students understand the importance of being in school ... it's just sometimes not as easy as it appears to make that happen.""","Abu Dhabi, UAE"
2019-03-30 16:41:32+00:00,b'I had a 3 hour depression nap lmao. Will I get to bed tonight ? Probably.',"Dubai, United Arab Emirates"
2019-03-30 14:41:42+00:00,b'#\xd8\xb3\xd9\x88\xda\x86\xd9\x86\xdb\x92_\xda\xa9\xdb\x8c_\xd8\xa8\xd8\xa7\xd8\xaa_\xdb\x81\xdb\x92 Depression ka wahid hal Namaz hi hai lekn ye samjhny k lye hmy itna waqt kyu lg jata hai \xf0\x9f\xa4\x94',"Dubai, United Arab Emirates"
2019-03-30 13:52:32+00:00,b'Maybe my increasing sleeping pattern is not a sign of depression maybe I just love sleep no ?',Abu Dhabi
2019-03-30 13:31:59+00:00,"b""@johnpavlovitz We have Muslims who say the same sort of thing, all you need is to depend on Allah. They don't understand that not all depression is situational, that there is no shame in seeking medical help...  They are part of the problem.""",American expat in the UAE
2019-03-30 11:57:23+00:00,"b'Looping negative thoughts/behavior, on rewind over a long period of time, is a sure way to depression. Break the loop with 1 good thought.'",L.A/UK/Dubai/Kuwait
2019-03-30 10:48:46+00:00,"b""@amymusicx Took a break for a year. Depression and all. And when I was back for college, I didn't do well soo yeah 2021.""","Abu Dhabi, United Arab Emirate"
2019-03-30 10:22:06+00:00,"b""It took me a while... But I'm finally starting to pull myself out of depression \xf0\x9f\x98\x8c\xf0\x9f\x98\x8c""","Dubai, United Arab Emirates"
2019-03-30 08:13:19+00:00,"b""#Success isn't what most people say: it's a sum of ups and downs, depression, doubt and insane #persistence. https://t.co/xpXleZPCP1""","Dubai, United Arab Emirates"
2019-03-30 08:06:22+00:00,"b'I\xe2\x80\x99m eating a tub of ice cream to make me feel better, hopefully. Lately I feel so ugly and weak. Lately I stopped interacting more with anyone not because I dislike them but because I don\xe2\x80\x99t have the energy to do anything, including interacting to anyone. Depression sucks. https://t.co/0Kg8ulJx3G'","Abu Dhabi, United Arab Emirates"
2019-04-29 23:04:48+00:00,b'cigarrettes and depression',"Abu Dhabi, United Arab Emirates"
2019-04-29 18:53:52+00:00,"b'@Sultaneaimi @Alyooos Islam teaches you to deal with everything in a logical, scientific matter and that applies to depression. Telling a depressed person ""hey you lack faith"" doesn\'t help anyone even if it\'s correct.'",Abu Dhabi
2019-04-29 17:56:22+00:00,"b""Stop comparing your chapter 1 to someone else's chapter 50 or else you will just die of depression""","Dubai, UAE "
2019-04-29 16:35:08+00:00,b'Depression level 10000%',United Arab Emirates
2019-04-29 14:29:29+00:00,b'@Keems868 @AnrchystRedux @Sheynanigan Could also be the depression and she drinkin to cope',Dubai
2019-04-29 13:31:34+00:00,b'Trigonometry: - Angle of elevation and depression(word problems)--20. https://t.co/hdUHVdSJC1 via @YouTube',"Dubai, United Arab Emirates"
2019-04-29 13:31:15+00:00,b'Trigonometry : -  ( Angle of elevation and angle of depression ) -- 19 https://t.co/LGEhRiMYWK via @YouTube',"Dubai, United Arab Emirates"
2020-03-30 20:58:22+00:00,b'@jward2090 @crypto_blkbeard Because of what is following: Depression... and something tells me we will correlate with the economy. Really fucked up times.  Hence: \xf0\x9f\x98\x94',"Dubai, United Arab Emirates"
2020-03-30 19:21:41+00:00,b'It\xe2\x80\x99s the Great Depression indeed',"Dubai, United Arab Emirates"
2020-03-30 19:14:49+00:00,b'@NorbertElekes super .The entire fihadi world just went to depression hearing this news \xe2\x98\xba\xef\xb8\x8f',UAE
