0,timestamp,target
im extremely grateful for the people who still rock with my bipolar ass,2019-02-27 23:56:24+00:00,0
i never really read books on bipolar when i found out. i read up some medical articles but i truly enjoyed reading articles from others who also suffer the same condition. personal experiences resonates with me more and its given me the courage to also write about my journey :,2019-02-27 23:48:33+00:00,1
lol none are available rn unless youre having a crisis but i dont need a therapist just a human that i am not at all close wit,2019-02-27 23:45:01+00:00,-1
actually i have a wife with lupus and bipolar disorder and i have severe back issues and am on a maintenance drug for an opioid addiction that started because of my back so i know a little about health insuranc,2019-02-27 23:44:22+00:00,-1
people who don't understand things always attack them. i was told for many years that i was diagnosed with bipolar disorder but they were wrong. i was called every stereotype you can think of so it made me learn more about it. i used to help people see the difference but gave u,2019-02-27 23:42:29+00:00,-1
i have bipolar and i tell myself to just chill out and wait all the time. it helps,2019-02-27 23:41:53+00:00,1
is the woman that talks directly to camera telling me about bipolar medication on hulu trying to convince me i have bipolar depression? i cant think of any other reason for a medication commercial to play times in one hour stretch,2019-02-27 23:24:47+00:00,0
thanks dyane! jade i was diagnosed with bipolar right after i had my second child and i was in my last year of nursing school. have successfully survived it as a nurse for years. was mh nurse for yrs. you can dm if u need to talk.,2019-02-27 23:24:07+00:00,1
thanks dyane! jade i was diagnosed with bipolar right after i had my second child and i was in my last year of nursing school. have successfully survived it as a nurse for years. was mh nurse for yrs. you can dm if u need to talk,2019-02-27 23:23:50+00:00,1
if i could fight this bipolar ass weather i woul,2019-02-27 23:19:34+00:00,-1
"im not bipolar, i just remember shit out of nowhere and my mood instantly changes",2019-02-27 23:16:48+00:00,-1
lebron will go off tonight and win our bipolar ass fanbase back including myself. i need to see lance air solos tonight to,2019-02-27 23:15:37+00:00,0
arizona's bipolar weather drives me nut,2019-02-27 23:15:27+00:00,0
so dang bipolar and too quiet for my taste,2019-02-27 23:11:42+00:00,0
why is pms kicking my ass this month? or its just my lowkey bipolar nature in action?!,2019-02-27 22:51:18+00:00,-1
". i won't go into more specifics, as i don't have the answer myself. but my gut tells me i am neuro-divergent (read as you will). my experience doesn't line up with bipolar ii, but does with other disorders i'm taking my mental health into my own hands, finally. i'm speaking u",2019-02-27 22:44:04+00:00,0
". in the last month i've made efforts to get healthy physically and mentally. i've also accepted these symptoms i actually have may be part of something else. and today, after explaining all this (and then some), my therapist agreed. bipolar isn't the whole stor",2019-02-27 22:44:03+00:00,1
". i pushed away any thoughts questioning my dx until a few months ago. idr the exact impetus, but i remember thinking, again, that bipolar symptoms don't feel like me. i did my own research, but it came across to my psych/therapist i only wanted a label",2019-02-27 22:44:03+00:00,-1
". i continued to drop a medication/dose here or there. but a couple years ago i saw someone speak about being bipolar as a dev. and while i could relate in some ways, other ways i couldn't grandiose thoughts? too much energy to sleep? i could never relat",2019-02-27 22:44:03+00:00,1
". i saw a new psych, seeing a smaller/weaker cocktail. and that i got! june , when my life changed and i could actually *feel* happiness (and not just sad/anger) and with that, i got a new dx as well: bipolar i",2019-02-27 22:44:03+00:00,1
"i thought i was bipolar, this texas weather really some else. we had all szns this month",2019-02-27 22:43:04+00:00,0
if anyone is allowed to be unstable and bipolar is nefes. i said what i said.,2019-02-27 22:41:43+00:00,-1
but also unresolved sleep disorder is also fucking up my mental health. im just hoping good ol trusty latuda keeps my bipolar in check. also im never leaving trazodone again,2019-02-27 22:35:41+00:00,1
i use to then as a coping mechanism for my bipolar disposer i simply shut myself down when dealing with those peopl,2019-02-27 22:34:34+00:00,0
"thank u for sharing this post here,i am re-tweeting it myself because i happen to be living with adhd myself &amp; i am also bipolar as well too,more people need to be aware &amp; understand people like myself &amp; know it's not easy to life with it all your life til u di",2019-02-27 22:33:24+00:00,1
bipolar depression i hate it real liv,2019-02-27 22:19:10+00:00,-1
"girl u and i both. its been one fucked up day for me too. im taking it out on everyone, its not even their fault. my mentality is like fuck it! lol! thats bad! my bipolar is fucking with m",2019-02-27 22:10:19+00:00,-1
maybe trudeau and trump should come play barbies with me and we can have a tea party and just forget about all these big bad men. because you guys are scratching and sniffing and turning a blind-eye and i'm sitting here bipolar and gibbled lmfao,2019-02-27 22:08:51+00:00,1
"came back to work after a few days off to find the babt girl who came off ecmo when i was last here is still off, has been extubated, and is working on feeds",2019-02-27 22:05:14+00:00,0
congrats! youll be in my neck of the woods! be prepared for ohios bipolar weather.,2019-02-27 22:03:01+00:00,1
is the weather finished being bipolar? can i clean my car now,2019-02-27 22:01:29+00:00,1
i hate being bipolar bc sometimes i act so impulsive and super energetic and i think it's normal and okay. i'm not okay lo,2019-02-27 21:48:00+00:00,1
i remember someone told me i couldnt have disordered eating or be considered anorexic because of my size. she said she used to be anorexic &amp; was super skinny so i didnt have a problem. so happy i knew better. plus with bipolar you can have a binge period &amp; starvation times,2019-02-27 21:47:03+00:00,1
"yall, tomorrow i will have put up with my husband for years! better yet ges dealt with my bipolar ass!",2019-02-27 21:39:36+00:00,-1
hey did you write these drugs? i have bipolar disorder and am on a bunch of meds and i totally related to it. thank you,2019-02-27 21:38:28+00:00,0
se me olvid que t eres bipola,2019-02-27 21:30:45+00:00,0
"yes, i am angry at this ""school"" for murdering my auntie and who knows how many others, for most likely destroying the life of my other aunt by creating a false bipolar disorder, forcing hospitalizations, shock treatments, kidneys destroyed with lithium...",2019-02-27 21:01:42+00:00,-1
"we maybe dont all have bipolar to blame it on, but weve all had days where were in a rebuking my hair and then laughing at myself state of mind.",2019-02-27 20:49:43+00:00,1
thank you for sharing your bipolar diagnosis. i have type and the stigma sucks that surrounds it. you're awesome for being open about that,2019-02-27 20:47:19+00:00,1
i hate when someone keep asking me wats wrong im bipolar bitch idk yet,2019-02-27 20:45:00+00:00,-1
not really i was really just talking about spoiled women not no one with bipolar disorder,2019-02-27 20:44:36+00:00,-1
"... i'm hella passionate about helping people understand mental illness from an energetic perspective... years ago, i was diagnosed with bipolar disorder...7 years ago i decided to",2019-02-27 20:43:37+00:00,1
everyday! i suffer from bipolar depression and the escape from reality and the great people i meet help a hell of a lo,2019-02-27 20:43:18+00:00,-1
just introduced my baby medic to the manic side of bipolar. so; not as life threatening as your day; but possibly equally chaotic,2019-02-27 20:41:18+00:00,-1
this weather is more bipolar then me wtf kerrville tx,2019-02-27 20:39:42+00:00,-1
my mamma bipolar like me ion even be trippin,2019-02-27 20:35:41+00:00,1
and i thought i was bipolar,2019-02-27 20:35:11+00:00,0
"emotions so that i wouldnt be overwhelmed. bipolar is not a fun dx, but its manageable. meds are a lifesaver for some, but dont feel like without meds youll self destruct. im here for whatever you need",2019-02-27 20:30:42+00:00,-1
"bipolar here love, was medicated for years and for me the side effects werent worth the benefit, and off meds i do feel more vivid and bright. but i will say, im only in the place that im at because while i was medicated i worked on myself and managing the moderate (pt.",2019-02-27 20:29:34+00:00,1
i think you make me bipola,2019-02-27 20:12:32+00:00,0
"ok my new brand for is transcending the bullshit (bullshit includes bipolar disorder, men, anxiety, emotional immaturity aka also men, capitalism, people saying dumb shit online, fear of failure, etc) ok g",2019-02-27 19:52:17+00:00,-1
"i hope the entire apartment complex is enjoying my bipolar taste in music right now. youre welcome for the cardi b, snoop dogg, scorpions, the eagles, halsey, pink floyd, senses fail, chelsea grin, panic at the disco, and drake",2019-02-27 19:35:51+00:00,1
"you can incorporate both skills for for mental illness its all we chose to use them. i not only read, i listen to doctors, therapist, clinicians and they have all mentioned the same thing. youre born with bipolar like others is can be genetically linked",2019-02-27 19:29:55+00:00,0
this is basically how i see my bipolar disorder.,2019-02-27 19:25:30+00:00,-1
what. i literally just looked at the forecast and it said and snow but now it says and rain!!! bipolar!!,2019-02-27 19:17:59+00:00,0
"in fall i withdrew from my phd program after a mental breakdown. i've been hospitalized, done therapy, placed on meds, and found out i'm . now, much healthier, i'm going back to finish my phd. i'm proud of myself. i'm still but soon i'll be dr. bipolar :",2019-02-27 19:11:07+00:00,1
if i say im in a job interview thats where im at dont keep calling me now u messing up my chance of getting a damn job glad i aint in a real interview i know now turn my phone off tomorro,2019-02-27 19:06:30+00:00,1
oh-- my bipolar mum. if it's on amazon i'll grab it today,2019-02-27 18:45:58+00:00,1
"i'm so glad you're not giving up! remember, you have a unique pov to share, and the world will be richer for it. i love to write ya. i go through spells (i struggle with bipolar) where i'm either writing like mad, or not doing anything. keep at it!",2019-02-27 18:45:35+00:00,1
my debt is the result of a manic episode from my bipolardisorder,2019-02-27 18:38:59+00:00,-1
"please, check the medication you take if they can be used with our medication. i didn't check and mixed benadryl whis sedative i take. it caused me hypomania condition for a three days until i found out what happening.",2019-02-27 18:33:34+00:00,1
lmao i stg im ova this bipolar shit,2019-02-27 18:31:31+00:00,0
trying to study my tweets will get yo know where im to bipola,2019-02-27 18:25:10+00:00,0
"when i talk to myself on twitter, it's medically classified as being bipolar",2019-02-27 17:47:48+00:00,0
"i said what i said. not everyone's bipolar is the same, but as someone that experiences it, you have control over the shit that comes out your mouth oh and a licensed therapist would know this, at least mine does",2019-02-27 17:47:09+00:00,1
(tho i also feel that on another level bc bipolar ii can create artificial bad days ;;;; low stretches suuuuuck,2019-02-27 17:41:56+00:00,-1
"i'm by no means against meds--especially when you are diagnosed bipolar and when the depression is so bad you can't get out of bed. i just prefer to exhaust every other option before that because i know ultimately, a pill isn't going to fix a lot of what's wrong with me",2019-02-27 17:36:12+00:00,-1
