0,timestamp,target
"sometimes as a person who lives daily with bipolar disorder, i often wonder whatthe ""right way"" to seek the support of the people who matter to me, therenone, so i been learning. no ""right words"", it..",2019-02-26 09:31:56+00:00,-1
"for my bipolar disorder i take meds, i do yoga, i lean on my friends when i need to because ill never not have bipolar disorder..even when ive been stable for a while it can come back &amp; hit me for a loop so pls watch out for your friends &amp; know how to help",2019-03-30 15:34:40+00:00,1
just found out today is so hey guys i still have bipolar disorde,2019-03-30 15:28:31+00:00,0
"i may have bipolar disorder, but it doesnt have me. im not defined by it. i have value and i see that. for more info &amp; resources about bipolar disorder visit: .",2019-03-30 15:00:13+00:00,-1
i wish being bipolar gave you a little bit of leeway but it doesnt and i wish it did.,2019-04-27 22:45:12+00:00,-1
"i've been in treatment for major depressive issues since i was , and it wasn't until i was that a doctor have me a bipolar diagnosis. to be fair, the entire dsm had just been updated and it didn't exist before then, but the new classification changed everything",2020-03-30 19:01:14+00:00,0
weird bipolar keanu reeves. his character made no sense to me either,2020-03-30 18:28:45+00:00,-1
im bipolar af i swearrrrr,2020-03-30 19:13:43+00:00,0
"the spanx founder on linkedin just listed all the super ambitious things she planned during lockdown and then said, turns out, im just going to try to keep my kids alive. my bipolar yo is so stressed were getting a mh evaluation today. youre not alone",2020-04-27 17:25:44+00:00,1
this bipolar weather will make me sick,2020-05-29 07:18:53+00:00,-1
"im bipolar or multipolar if theres such a thing, when it comes to music. depends on my mood. but i like almost every genre. country, gospel, blues, jazz, soul, r &amp; b, rap, reggae, etc.",2021-01-30 01:54:10+00:00,1
because im bipolar (medicated)... when something bad happens at work and i react wtf!.... i find myself super self-conscious about my reaction and wondering if it was normal or ok or if people wonder if i didnt take my meds. is that weird,2021-01-30 00:56:31+00:00,-1
"i have bipolar but the covid-19 pandemic hasn't bothered me because i'm such a loner and so much in my own darkness that i barely notice. yeah, i'm nuts but i've been nuts for awhile and i'm nuts enough that the pandemic doesn't even touch m",2021-01-30 00:34:03+00:00,-1
what a fcking week i was diognized for having bipolar and i was fcking slaped n abused by,2021-02-26 07:22:36+00:00,-1
"i don't know people are more comfortable with compared to talking about the lived reality of bipolar disorder (i've been diagnosed with bipolar ii for the past years, but have never publicised it, because i am treated as less than for it",2021-03-30 16:22:50+00:00,1
would love to be in a project that can help me out with my bipolar rather than the standard help advice i can find online a real community :,2022-01-30 10:35:29+00:00,1
"having bipolar , and now still dealing with covid, my moods seem out of control. i had all my vaccines and still got this and bad! please see if you can get some information about how covid is affecting those with mental health problems. thank you",2022-01-30 00:38:00+00:00,-1
"dear gratitude journal, i am grateful my bipolar mood has shifted so perhaps today will be less painful. i dont know what to do with all this energy as long covid reorganized things ability wise, but, eh its nice to feel better. something horrible might happen after",2022-01-28 16:43:35+00:00,1
"listening to the mental health recording now. as someone who has battled bipolar disorder for over years, the covid pandemic has made things much more challenging. i was hospitalized for my mental health during the early days in the spring of . thanks for this show",2022-01-28 14:39:05+00:00,0
