0,timestamp,target
"hi, if u make jokes abt things being bipolar u owe me $. not everyone who suffers from the illness is like that &amp; its rude &amp; dehumanizing to those that do have intense mood swings. its an exhausting disorder &amp; deserves more respect &amp; undestanding than a cheap joke",2019-02-25 21:28:24+00:00,-1
"this bipolar shit is really fucking with me got me sitting in my room, in the dark, listening to music with my phone on dnd",2019-02-25 22:52:45+00:00,-1
i am sure you are suffering from bipolar disorder. i pity you. end will be very painful. sympathies. dullards,2019-02-26 16:17:41+00:00,-1
"i have bipolar ii disorder, so i dont get feelings of grandiosity, but everything else applies. its super important that people understand what this looks like so they can display empathy (or recognize these traits in themselves if they may be present).",2019-03-30 22:04:41+00:00,1
"i am not a stigma. i am a person. a person who happens to have disorder. my illness doesnt define me but it does contribute to my demeanor. i dont see our hindrances as flaws, i see them as superpowers.",2019-03-30 20:58:19+00:00,-1
"- i am bipolar i and registered with the moses center. i often missed classes for prolonged periods of time and that affected my grades (of course) - due to covid-19 ive had to return to my low income, single parent household - emotionally, i am not doing",2020-03-30 17:56:17+00:00,-1
you gotta be kidding me with these bipolar shit!!!,2020-03-30 17:05:54+00:00,-1
"very but i don't have add. i have bipolar disorder. and i have been having very fast frequent switches. and it makes it difficult, particularly the hypomania to concentrate for anyting longer than about like minutes or so. it's very frustrating. it's like i got stuff to do ma",2020-04-27 19:36:05+00:00,-1
with my many diagnoses i think i might also be bipolar. this isn't normal,2020-04-28 21:51:39+00:00,0
lol someone clearly needs to learn how to distinguish bw whining and asking. dahm all i'm saying is atleast stand by your call and don't be so bipolar lmao. cause you just followed me again,2020-04-29 11:40:08+00:00,1
sometimes i regret everything i ever did in life other times i see it as a good thing... im bipolar asf,2021-01-29 13:08:26+00:00,0
"i have bipolar and adhd, only take mood stabilizers and antidepressants, adderall when needed like if i have a project to do or something. it took like years for my combination of meds to work right and see what actually worked. good luck on your journey!",2021-01-30 04:30:57+00:00,1
"yeah, i have bipolar disorder and a lot of trauma around trying to make myself smaller and blend in for relationship harmony so i relate to your struggle. its hard to know who you are when youve never been yourself before",2021-01-30 18:35:21+00:00,-1
how could you be a close friend or family fully aware of my mental illnesses (specifically bipolar disorder with manic episodes &amp; ptsd) yet not be understanding when im going through it? maybe its the being normal part but you can still try to put yourself in my shoes..empathy,2022-01-29 05:51:19+00:00,-1
"mental health matters i have synesthesia caused by brain damage i have tourette syndrome i have bipolar i still sell art and if i can do it, any of you can don't let anything hold you back don't be afraid to ask for help",2022-01-30 00:22:43+00:00,-1
"i have several issues with my body that deem me as disabled. but bc i have such a big personality,ppl don't care when i tell them that i have bipolar type with other mental illnesses, i have fibromyalgia, scoliosis, and arthritis in my lower back...",2022-01-30 03:06:01+00:00,-1
cant wait to feel the again. i have bipolar disorder so im always going through highs and lows but theyre much more regulated now and leveling out so my lows are never as low as the previous time and same for the highs (thanks to therapy &amp; meds which work for me thankfully,2022-02-26 22:28:52+00:00,1
when i will give time to myself why im running away from her. i need myself,2022-02-27 05:09:48+00:00,0
"mine was a ruger .22 target pistol. i loved that thing. he got it in the divorce. i have no business having guns, really, because i have bipolar disorder and have been suicidal before",2022-02-27 13:23:53+00:00,-1
"euthanasia sounds merciful but hear me out. i have bipolar disorder, and i literally cannot consent to my own death. it wouldnt be suicide but homicide. yet doctors have taken the lives of many depressed people in their own hands and ended them. frightening. (big fan btw.",2022-03-30 19:04:04+00:00,-1
