timestamp,tweet_text,Location
2019-02-26 09:31:56+00:00,"sometimes as a person who lives daily with bipolar disorder, i often wonder whatthe ""right way"" to seek the support of the people who matter to me, therenone, so i been learning. no ""right words"", it..",Singapore 
2019-03-30 14:40:08+00:00,tell me about bipolar disorder,"193 Oak st. #1; Newton, MA "
2019-03-30 14:11:43+00:00,bipolar awareness day - famous people with bipolar,Singapore
2019-03-30 09:01:28+00:00,"""my first reaction to the diagnosis was disbelief. after all, this happens to others, doesnt it? not to me! "" swati agrawal on how she eventually got lucky with the right doctor who helped her reach a diagnosis of bipolar disorder, coming to terms...",India and Singapore 
2019-04-29 05:43:03+00:00,what kind of nonsense bipolar weather is thi,Singapore
2019-04-28 20:40:27+00:00,bipolar tk styl,"North Region, Singapore"
2019-04-27 22:45:12+00:00,i wish being bipolar gave you a little bit of leeway but it doesnt and i wish it did.,Forever Changing
2019-02-27 17:30:21+00:00,and relationships: am i lovable? || ==,Singapore
2019-02-27 17:28:06+00:00,. is it bipolar disorder or a spiritual awakening?,Singapore
2019-02-27 17:27:38+00:00,yall weather bipolar af,Singapore
2019-02-27 17:27:16+00:00,"i may only have a few friends, and i know that is completely all my fault (bipolar issues) but i have the best bff ever",Singapore
2020-03-30 12:19:56+00:00,kau bipolar ke ap,"West Region, Singapore"
2020-03-30 05:55:21+00:00,"quem? a bipolar xanaina pascoaleta? sua politiqueira de merda, trara sem dignidade. as urnas cobraro essa hipocrisia. demagogos e cnicos no prosperaro",The Woodlands - TX
2020-03-29 15:55:35+00:00,bipola,Singapore
2020-04-29 06:12:32+00:00,"bipolar disorder another wednesday, another ! this week were going to discuss about bipolar disorder, a mental illness that brings severe high and low moods.",Singapore
2020-04-29 06:09:13+00:00,"bipolar disorder another wednesday, another ! this week were going to discuss about bipolar disorder, a mental illness that brings severe high and low moods and changes in sleep, energy,",Singapore
2020-04-28 22:13:34+00:00,hais so bipola,"West Region, Singapore"
2020-04-27 17:25:44+00:00,"the spanx founder on linkedin just listed all the super ambitious things she planned during lockdown and then said, turns out, im just going to try to keep my kids alive. my bipolar yo is so stressed were getting a mh evaluation today. youre not alone",Fox River Valley/IL
2020-05-29 07:30:34+00:00,right tried in a federal court for running instead of the state oh would you look at that that's two consecutive criminal actions in within a wee,Singapore
2020-05-29 07:29:27+00:00,again he killed a man in broad daylight they wouldn't be a mob if you were just not kill someon,Singapore PA
2020-05-29 07:17:53+00:00,thomas mudrick bipolar bea,Singapore PA
2020-05-29 07:17:28+00:00,"bipolar and delusional at its finest, plz remove this man from office alr, november wya?",Singapore
2020-05-29 07:11:43+00:00,thats what kanye says. hes bipolar,Singapore
2020-05-29 07:06:05+00:00,"bipolar, i feel like kany",Singapore
2020-05-29 07:05:39+00:00,"bipolar ii, depression, bpd hi frien","Singapore City, OK"
2020-05-29 07:02:04+00:00,it needs to be burned to the ground tonigh,"Hell, Singapore"
2020-05-29 06:58:59+00:00,he is running from the law cuz he definitely did kill a man in broad dayligh,Singapore PA
2020-05-29 06:57:11+00:00,"when you've been labeled , , normal emotions are viewed differently. joy=manic sadnessepressed angerut of control fearissociating anxiety=in psychotic episode feelings you express are seen thru lens of diagnoses gave you",Singapore 
2020-05-29 06:50:52+00:00,"nah, hes right",Singapore
2020-05-29 06:50:01+00:00,not my type of music but as a character i enjoy him. but my favorite episodes were the gata reveal about bipolar and this last episode w allys family,Singapore
2020-05-29 06:43:51+00:00,tu bipolar,Singapore
2020-05-29 06:27:48+00:00,me &amp; this boy so bipolar with each other we both tryna figure out if we wanna love or hate each other,Singapore
2020-05-29 06:23:34+00:00,you focused so hard on misspelling you forgot to troll though,Singapore
