timestamp,tweet_text,Location
2019-02-27 10:48:31+00:00,"content in speech from the start, no bipolar immature and indiscriminate behavior, speaking like a true leader that he is... what an example for the world... india take heed",Dubai
2019-02-27 02:03:47+00:00,her bipolar behavior.....she played pig % of tim,"Dubai, United Arab Emirates"
2019-02-26 19:07:45+00:00,ando a ficar mt bipolar porr,Dubai 
2019-02-26 16:17:41+00:00,i am sure you are suffering from bipolar disorder. i pity you. end will be very painful. sympathies. dullards,Dubai
2019-02-26 15:12:30+00:00,"the eskimo nebula or ngc , also known as theclownface nebulaorcaldwell , is abipolar double-shell planetary nebula(pn). it was discovered",Philippines/UAE
2019-02-26 00:55:35+00:00,"the eskimo nebula or ngc , also known as the clownface nebula or caldwell , is a bipolar double-shell planetary nebula(pn). it was discovered by astronomer william herschel in . the formation resembles...","Abu Dhabi, UAE"
2019-02-26 00:55:17+00:00,"the eskimo nebula or ngc , also known as theclownface nebulaorcaldwell , is abipolar double-shell planetary nebula(pn). it was discovered byastronomer william herschelin .","Abu Dhabi, UAE"
2019-02-25 19:15:22+00:00,cyprus weather be bipolar as fuck,Cyprus | UAE
2019-03-30 14:32:53+00:00,"let's combat the social stigma that often goes hand in hand with bipolar disorders, and bring international awareness.","Dubai, United Arab Emirates"
2019-03-30 07:59:08+00:00,"world bipolar awareness day will be celebrated each year on march th, the birthday of vincent van gogh, who was posthumously diagnosed as having bipolar disorder.",Abu Dhabi
2019-03-30 07:19:09+00:00,"disorder is a treatable brain disorder that is real and can cause a lot of suffering, especially if it is not well managed. wishes to bring more info to the public about bipolar disorders. for more info on our services, call",Abu Dhabi
2019-03-30 07:17:25+00:00,"did you know that vincent van gogh was ? wishes to bring more information to the public about bipolar disorders that will educate and improve sensitivity towards the illness for more info on our services, call",Abu Dhabi
2019-03-30 07:13:48+00:00,"did you know that vincent van gogh was bipolar? bipolar disorder is a treatable brain disorder that is real and can cause a lot of suffering, especially if it is not well managed. world",Abu Dhabi
2019-03-29 19:09:48+00:00,a7a keef bipolar ??????????,United Arab Emirates
2019-04-29 13:47:20+00:00,bipolar mood today.,dxb - ph 
2019-04-28 06:15:04+00:00,youre bipolar blgow shu el m6lwb?,Dubai
2019-04-27 20:11:16+00:00,bipolar quero novidades rs,Dubai
2019-04-27 11:40:04+00:00,they all are suffering from bipolar personality disorders. what a criminal act to behave this way on foreign land and behave as kings in the land of pure,Abu Dhabi
2019-04-27 09:05:43+00:00,according to dr asim git report bilawal is under treatment of bipolar disease(mentally depressed) esy zehani bemari main mubtla patient ko ap pakistan ka pm bnana chaty ho,"Dubai, United Arab Emirates"
2019-02-27 17:30:21+00:00,and relationships: am i lovable? || ==,Abu Dhabi
2019-02-27 17:28:06+00:00,. is it bipolar disorder or a spiritual awakening?,Dubai
2019-02-27 17:27:38+00:00,yall weather bipolar af,Sharjah
2019-02-27 17:27:16+00:00,"i may only have a few friends, and i know that is completely all my fault (bipolar issues) but i have the best bff ever",UAE
2020-03-30 22:16:34+00:00,physics do be bipolar sometimes,United Arab Emirates
2020-03-30 17:05:54+00:00,you gotta be kidding me with these bipolar shit!!!,"Dubai, United Arab Emirates"
2020-03-30 03:57:36+00:00,im a sagittarius .. im lightskin .. im bipolar ... hby,"Dubai, United Arab Emirates"
2020-03-29 19:39:37+00:00,the weather is being so bipolar today.,United Arab Emirates 
2020-04-29 22:27:20+00:00,bipolar really a big problem...,United Arab Emirates
2020-04-29 11:40:08+00:00,lol someone clearly needs to learn how to distinguish bw whining and asking. dahm all i'm saying is atleast stand by your call and don't be so bipolar lmao. cause you just followed me again,Dubai
2020-04-28 21:51:39+00:00,with my many diagnoses i think i might also be bipolar. this isn't normal,"Dubai, United Arab Emirates"
2020-04-28 06:48:29+00:00,bipolar sunshine pls can u get us ultra ticket,"Dubai, United Arab Emirates"
2020-05-30 17:02:08+00:00,im so fucking bipolar meh,Abu Dhabi
2020-05-29 17:07:47+00:00,feeling ko bipolar na ako,"Abu Dhabi, UAE"
2020-05-29 08:18:48+00:00,bipolar much,"Dubai, United Arab Emirates"
2020-05-28 23:20:45+00:00,u tryna get to some point where you want people to realize that the tweets r meant for them alsooo ur bipolar about u friendshi,"Dubai, United Arab Emirates"
2021-01-29 13:08:26+00:00,sometimes i regret everything i ever did in life other times i see it as a good thing... im bipolar asf,"Abu Dhabi, United Arab Emirates"
2021-01-29 08:42:15+00:00,guilt,"Dubai, United Arab Emirates"
2021-02-26 15:29:56+00:00,"so does schizophrenic people, bipolar people, etc et",Abu Dhabi
2021-02-26 15:24:47+00:00,peyton manning - kids coach,UAE
2021-02-26 15:23:33+00:00,can yall help me by spreading the word that this girl has broken down in a bad bipolar disturbance and needs he parents. thank you,dxb - ph 
2021-02-26 15:22:56+00:00,this girls name is marlanna evans. shes extremely retarded and bipolar. i think she needs help,Ajman
2021-02-26 15:20:55+00:00,it may not seem like it but i must be bipolar lol i be getting angry for literally no reaso,UAE
2021-02-27 13:55:11+00:00,bipola,Abu Dhabi
2021-02-27 09:15:41+00:00,this porsche ad by bipolar studio in la is totally cgi long gone are the days of taking cars to the south of france just for the light! watch the whole film:, Dubai
2021-02-25 19:01:42+00:00,ando demasiado bipola,"Dubai, United Arab Emirates"
2021-03-30 07:34:44+00:00,"bipolar disorder is a mental health condition characterized by severe highs and lows in both mood and energy levels. changes in behavior, sleep patterns, cognition and more can severely impact the personal and professional lives of those diagnosed. visit","Dubai, United Arab Emirates"
2022-01-29 09:49:53+00:00,"wheres the proof pak govt is involved. he has rubbed many people the wrong way, hes an uncouth horrible human being, in fact he could very well be suffering from some mental ailment like bipolar disorder which has remained unchecked. one can read his tweets to see his true sid",Abu Dhabi
2022-01-29 05:51:19+00:00,how could you be a close friend or family fully aware of my mental illnesses (specifically bipolar disorder with manic episodes &amp; ptsd) yet not be understanding when im going through it? maybe its the being normal part but you can still try to put yourself in my shoes..empathy,Abu Dhabi
2022-02-27 05:44:46+00:00,"born in a bipolar world, in pakistan, we were told that ussr is communist (without explanation what was that about), and their ideology in against ours. we shd be on america's side because they always help us. we were also confused when in s that changed into unipolar world",UAE
2022-02-27 05:09:48+00:00,when i will give time to myself why im running away from her. i need myself,United Arab Emirates
2022-03-30 14:36:17+00:00,vincent van gogh. involuntarily raising awareness about bipolar disorder since .,"Dubai, United Arab Emirates"
2022-03-30 12:35:02+00:00,"bipolar disorder is a severe mental illness. people who have it go through unusual mood changes if you think you may have it, call us for help because early treatment is always better. get in touch with us on -2766064",Dubai Healthcare City
2022-03-30 08:00:44+00:00,"bipolar disorder is not the same as the typical ups and downs every person goes through, but with help, adults teens, and children can manage their symptoms and lead successful lives. get in touch with us on -2766064",Dubai Healthcare City
