,0,timestamp,target
0,"about to talk with my dubi friend to help curve his depression. i'm kinda depressed to but i will place the happy mask on &amp; ignore my shit to help clean his shit out of his system. after this if i succeed, i'll feel like i shit my shit out too. talk therapy, best there is",2019-02-27 23:59:32+00:00,1
1,its too early to go to sleep but my depression disagree,2019-02-27 23:58:16+00:00,-1
2,my seasonal depression is in full force with this late winter weather and im trying to combat it by starting up a gym routine again and setting up my bedroom after this move..... with like seven -hour naps in between. its a great mix of progress and debilitating lazines,2019-02-27 23:57:37+00:00,1
3,"hi _darlingdahlia_, thanks for following me! my purpose is to help those suffering from depression and anxiety! check out the day bliss challenge to get you on the right path to finding your bliss!",2019-02-27 23:57:05+00:00,1
4,anyone want to suck the depression outta my tiddies,2019-02-27 23:56:40+00:00,-1
5,apparently depression and anxiety count because i see it on every app i've done and none are min wave so it must be a fed req at leas,2019-02-27 23:56:38+00:00,-1
6,"i washed and put away all my clothes, beeeeech. depression? i dont know her!",2019-02-27 23:56:37+00:00,-1
7,oh dear god. i want to strangle anyone that doesn't understand how depression works and judges those that have it.,2019-02-27 23:55:34+00:00,1
8,i grew up around animals all my life. now i am forced to live without an animal and i feel like my soul is being crushed. seriously feels like its worsening my anxiety and depressio,2019-02-27 23:54:27+00:00,-1
9,in a state of depression for months and its my fault. it fucking sucks. i feel like i ruined my life and i cant fix it. im sorry your pet isnt eating what kind of animal,2019-02-27 23:54:25+00:00,-1
10,hi shane i hate to be this person but its my th birthday and i just want to say that im so thankful for you always making me smile and laugh even when my depression has been a pain. thank you for teaching me life is worth it. i made it to,2019-02-27 23:53:47+00:00,1
11,so i couldnt bring myself to watch that episode of black ink dealing with phors depression. i finally did &amp; wish i didnt. it broke me all the way down,2019-02-27 23:53:41+00:00,0
12,"thank you for giving me an avenue to let my friends and family know about my depression and anxiety disorder. during my divorce was a dark time for me. i was able to pull myself out of it. thank you, you have a loyal fan",2019-02-27 23:52:34+00:00,1
13,"social media is a direct reason for this generations depression, anxiety &amp; relationship struggles. but why tho? i think were comparing to the next persons fantasy life -wondering if were living our own right. you dont see life behind closed doors. (thread",2019-02-27 23:52:12+00:00,-1
14,my depression when it sees me click on my sad bitch playlist,2019-02-27 23:50:50+00:00,-1
15,i hope it's he is the only one can save me from my depression,2019-02-27 23:48:33+00:00,1
16,"and i met with my psychiatrist yesterday and told him and he was like, ""thatbecause you have depression but you on meds"". why didni think of that?! he offered to try an additional med but i would rather just deal for now with riding out my few day depressive episodes",2019-02-27 23:48:10+00:00,-1
17,all these carnival posts are gonna make me go into depression,2019-02-27 23:47:29+00:00,-1
18,"wow, this hit me right between the eyes at just that moment. thank you for this, i'm thankful to have come across it. (i don't think things happen by accident.) depression (and more) has stolen so much from me, and i work as hard as i can to get it back, daily",2019-02-27 23:46:39+00:00,-1
19,"woke up to a random bout of lethargic depression and then had a low-key panic attack while trying to make plans to go back to ga and get the rest of our stuff out of storage. brain, please. i just want to write..",2019-02-27 23:45:43+00:00,-1
20,i was just tryna flex now i have depression wt,2019-02-27 23:45:42+00:00,-1
21,"i woke up this morning more depressed than ive been in a long time. i went to class, i ate healthy all day, and i helped spread some joy. im so fucking proud of myself. depression isnt gonna win this time",2019-02-27 23:44:40+00:00,0
22,lmaoo yea i agree but when your in depression its never to early,2019-02-27 23:44:12+00:00,-1
23,"hi abdulha49664520, thanks for following me! my purpose is to help those suffering from depression and anxiety! check out the day bliss challenge to get you on the right path to finding your bliss!",2019-02-27 23:41:24+00:00,1
24,"depression has taken most things from my life and if this new treatment doesn't work, i'mma defintely become a statistic at some poin",2019-02-27 23:40:53+00:00,-1
25,yooooooo + hours deep in snow and winter depression and my room just lost wifi how's everyone else doin,2019-02-27 23:40:48+00:00,-1
26,"due to todays events, i have slipped into depressio",2019-02-27 23:40:06+00:00,0
27,my seasonal depression this year was almost non-existent when it used to feel unbearable. living in a warm and beautiful place like this has done wonders for me in that respect,2019-02-27 23:38:33+00:00,1
28,"love you, man. i struggle with depression, too. be well.",2019-02-27 23:38:01+00:00,0
29,i have a personal bias with jbp i started listening to his lectures (and jocko willink) around the time i decided to go back to school. i think i subconsciously credit them to some degree. then again im going into a profession with high rates of depression and substance abuse..,2019-02-27 23:37:35+00:00,-1
30,unpopular opinion: i hate weighed blankets. they dont help with my anxiety &ampepression. they make me feel like im being smothered to death by my anxiety &ampepression,2019-02-27 23:37:13+00:00,-1
31,"my mood swings are weird as hell, man. like, a minute ago, i was complete garbage. depression kicked in full force and my head was killing me. now, i got my headphones in and i'm dancing in my desk chair to dancing queen. like...what the hell, head? pick one",2019-02-27 23:37:12+00:00,-1
32,are we in retrograde? cause i need to know what im suppose to tell my depression. this up and down every other day is killing me. at least give me week straight if either one,2019-02-27 23:37:02+00:00,-1
33,"are there any online therapists for treating anxiety? yes. online therapy is becoming quite popular, especially when using skype. get help from an online therapist for anxiety and depression. contact me via email if you would like to talk to a therapist",2019-02-27 23:35:00+00:00,1
34,hey sorry i didnt text back i was wallowing in my depressio,2019-02-27 23:32:56+00:00,0
35,this stress and depression really made me a fatass bitch,2019-02-27 23:32:08+00:00,-1
36,"in the early i watched a willie nelson interview. they asked about the current recession at the time and his response was, ""if it wasnfor drug dealers it would be another depression""",2019-02-27 23:31:49+00:00,-1
37,fdr is what made the great depression great. bc of him it went on many years longer than it should have so pardon me if i dont think a quote by him is illuminating at all,2019-02-27 23:31:32+00:00,1
38,"genuine question, bc i experience it myself. do you think people prone to depression have more of a tendency to seek depressing topics (climate change), or does reality just come with bouts of depression? or do we always look for the worst case scenarios? always",2019-02-27 23:31:09+00:00,-1
39,"went to the doctor today for a physical and i took a survey to determine whether or not i was depressed (i had already told her i had depression). she looked at it and then looked at me and basically just went, areare you okay? and i just went",2019-02-27 23:30:59+00:00,0
40,aaaand following up the depression session with some family bullshit and i am dreading i,2019-02-27 23:30:17+00:00,-1
41,online mindfulness-based cognitive behavioral therapy via skype for recovery from anxiety and depression. email me to get started. go to:,2019-02-27 23:30:15+00:00,-1
42,i literally go back and watch this once an hour. it helps my depressio,2019-02-27 23:29:03+00:00,1
43,depression is kicking my as,2019-02-27 23:28:09+00:00,-1
44,is the woman that talks directly to camera telling me about bipolar medication on hulu trying to convince me i have bipolar depression? i cant think of any other reason for a medication commercial to play times in one hour stretch,2019-02-27 23:24:47+00:00,0
45,weaponizing my depression.,2019-02-27 23:22:36+00:00,-1
46,depression comes with fear &amp; desires... i keep low expectations &amp; desires from others even with the closest ones &amp; never fear of any problem or obstacle comes in life because thats d true meaning of life,2019-02-27 23:22:19+00:00,-1
47,not gunna let depression do me ini got speckled buff in my hair and bowl dowl lets get this bread,2019-02-27 23:22:05+00:00,1
48,so do i get up from my depression and do hw or get up and go break my die,2019-02-27 23:21:34+00:00,-1
49,"i hate when people doubt that chronic mental illness is a thing. idiagnosed with anxiety disorder and depression. i take meds that ""helps"" both. episodes from emotionally distressing events have made me not be able to keep food down. mental illness is serious",2019-02-27 23:19:42+00:00,-1
50,"not in a joking im working way too hard, sort of way. i honestly did not see how i could go on living. ive struggled with depression my whole life, but never this intense. usually i work out, take a day off, and i'm ok... not great, but ok",2019-02-27 23:19:26+00:00,-1
51,"i struggle with depression, anxiety and wanting to do everything, save the world, save the children, make music... and at the same time feeling like i cant move a muscle. i have one friend, a gang of family, and still feel like i cant talk to no one ...",2019-02-27 23:18:47+00:00,1
52,"almost years ago i also got a little kitten to help me cope with depression, and now he is a great big cat that still manages to keep me alive. kitties are everything",2019-02-27 23:18:07+00:00,1
53,adulting mindset sitting outside in the sun.. young me = wants to tan &amp; be ~hawt~ adult me = wants to get vitamin d to help beat seasonal depression going to the gym... young me = wants to be fit &amp; ~hawt~ adult me = wants to let out some rage &amp; cry a little les,2019-02-27 23:17:57+00:00,-1
54,wear my hat for night make prayers positive messages to my friend who has been such incredible inspiration with songs that help my struggle depression anxiety for year now,2019-02-27 23:17:02+00:00,1
55,i don't think i've laughed this hard in a long time big shout out to and for helping me a bit through this depression &lt;3,2019-02-27 23:15:45+00:00,-1
56,"""depression"" seems like everyone uses this word often to the point where itlike the common cold, everyone seems to have it so no one really cares. one of my biggest gripes with this is",2019-02-27 23:15:10+00:00,-1
57,"i go through depression at times. you lift me up, not only your vocals, but also your kind spirit. please keep making music",2019-02-27 23:14:33+00:00,1
58,this is freya she is a cure for she is a she is our for a few weeks. she is my son's life. we support anything that helps with you should too!!,2019-02-27 23:13:45+00:00,1
59,what do u do when ur own fam doesn't believe u suffer from addiction n depression? that u live with of ur stressors but have no other choice? that's why i escape wrestling. that's y i get so involved in stories that,2019-02-27 23:12:18+00:00,-1
60,anxiety and depression arent a joke and if you think you know what its like but you still think trying isnt enough then you clearly dont. bc i failed a semester of classes bc i could not make myself leave my bed to even eat most days. id wake up early enough. just couldnt do i,2019-02-27 23:11:56+00:00,1
61,dragging myself out of depression to bathe.,2019-02-27 23:11:41+00:00,-1
62,"no as my southern depression era family members would say, ""boy, you look like a zip damn fool""",2019-02-27 23:11:38+00:00,-1
63,miss carly rae took my depression away,2019-02-27 23:10:10+00:00,-1
64,i know: more evidence about benefits of exercise. this is very convincing: help with depression! even a short walk can put you on the path to better mental health. i am certain this has been a key to maintaining better mental balance for me. more here.,2019-02-27 23:10:09+00:00,1
65,are there any sites that offer therapy over skype?. i offer online therapy over skype for treating anxiety and depression. see:,2019-02-27 23:10:02+00:00,-1
66,"i was ashamed for a week i cried turned me into another person, because i let someone else put me into a position that could of landed me in i fought a person that didn't fight back she was all talk and know work, it's sad to fight a person not fighting bac",2019-02-27 23:09:07+00:00,-1
67,"and that's a terrible thing. i think that's something with which a lot of people struggle. i'm not concerned that these types of memes/videos will cause depression in my kids, but kids emulate what they see all the time, and that scares the hell out of me",2019-02-27 23:07:24+00:00,-1
68,"i am so very much looking forward to our yearly return to the south. we are getting heavy snowfall at home currently and my seasonal depression is setting in. i am dreaming of sunshine,",2019-02-27 23:06:29+00:00,-1
69,time for a good old depression session i gues,2019-02-27 23:06:08+00:00,-1
70,"its almost been a week since 's concert and my post concert depression is still going strong! missin' my fellow georgeian lots! woodstock, georgia",2019-02-27 23:06:07+00:00,-1
71,i feel that depression kicking in. like i just want to close off and be alon,2019-02-27 23:05:12+00:00,-1
72,knoxville cured my depressio,2019-02-27 23:04:39+00:00,0
73,the treat yoself mentality has been encouraged far too much in my life and now my automatic response to depression is putting myself into debt to get a stromboli delivere,2019-02-27 23:04:11+00:00,-1
74,"depression/anxiety blob is my brand, baby",2019-02-27 23:03:03+00:00,0
75,i never knew how bad my was until i found out i have another person inside me. when i get i black out and don't remember anything that bitch is called crucial aka crucial. i popped off on a person for calling me nd i don't hve fake bone n my body.,2019-02-27 23:03:03+00:00,1
76,"the one advantage of having severe depression is every time im going through a depressive episode, i come up with some sick ass art ideas",2019-02-27 23:02:53+00:00,-1
77,"""taking my depression minute by minute helped me stop downward spiraling""-",2019-02-27 23:02:06+00:00,-1
78,"nearly a year ago, i held hearings on residential youth treatment facilities and heard horrible stories of abuse, solitary confinement, depression and lack of education from young people. i promised them we would do better. /",2019-02-27 23:01:53+00:00,-1
79,everything can go right in the course of a day then one little tiny thing goes wrong then another and another... then it feels like you are paddling upstream with a broken oar and it's all you can do to just stay afloat. i'm outta spoons today. i hate depression..,2019-02-27 23:00:24+00:00,-1
80,this depression is really getting on my nerve,2019-02-27 22:59:40+00:00,-1
81,"ok i am captivated on the - this bit about depression and pain being a motivator i love. the first thing he said about how to help someone with depression - ""i am slow to medication"" amen!",2019-02-27 22:59:26+00:00,0
82,my depression needs to give me a break.:,2019-02-27 22:58:51+00:00,-1
83,tryna give up my depression for len,2019-02-27 22:55:07+00:00,-1
84,my name is wil wheaton. i live with chronic depression and generalized anxiety. i am not ashamed.,2019-02-27 22:54:50+00:00,-1
85,"wow my depression is so real today, how is it so powerful?! im almost impresse",2019-02-27 22:54:44+00:00,1
86,"i know exactly what you mean. i have depression and anxiety + really bad insomnia (which at least i have meds for), and being tired makes everything feel so much bigger",2019-02-27 22:54:40+00:00,-1
87,"last year i pushed myself and ended up in bed for nearly two months, not good when you suffer from depression as well, easy to slip..",2019-02-27 22:54:08+00:00,-1
88,okay here it comes because i literally just cant let the person i love get shitted on. but here it is. the person i love suffer through depression just like any other person would. so you guys saying stfu about and saying that its negativity. thats how you see it or want t,2019-02-27 22:53:05+00:00,-1
89,we need disabled doctors but the system wont allow for it. i would rather trust a doctor who has experience w chronic anxiety/ depression &gt; a doctor who has never had any mental illness issue. but where they at?? the system strigmatizes disabilities and creates so many barriers,2019-02-27 22:53:00+00:00,-1
90,okay cuz drake did not have to send me into depression like that,2019-02-27 22:51:09+00:00,0
91,"the published another one of my posts: ""spouses need support, too"" blogging on , , &amp; in which i interview who have dealtw/depression please rt",2019-02-27 22:48:57+00:00,1
92,"depression hit me a few weeks ago now i am straight. back to myself, have to love the people around me for keeping me focused",2019-02-27 22:48:33+00:00,1
93,"diving into the relationship between and typing complexity: for all members of our community, i appreciate every phq (weekly) and mood disorder questionnaire (mdq; one time assessment) you put in! we will release our findings meeting soon!",2019-02-27 22:46:23+00:00,1
94,"i mean, the great depression is a whole lot less intense than simulating a mass genocide but i can see a practical application, like we did a hands on learning approach with th century factories or something which i remember (and for the right reasons lol",2019-02-27 22:46:12+00:00,1
95,"during visits with the doctor, teachers, therapist, or other mandated reporters - to avoid having social workers banging on my door - my daughter knows to hide her special interest. but her ipad prevents depression, intrusive thoughts, loneliness, and meltdowns. its her lifelin",2019-02-27 22:45:58+00:00,-1
96,fuck sex. can you deal with me when my anxiety kicks in &amp; my depression takes over,2019-02-27 22:44:19+00:00,-1
97,"oh, that makes me mad. as someone who struggles with depression and stuff that hits to close to home",2019-02-27 22:42:54+00:00,-1
98,someone come over &amp; help me clean my depression cave pl,2019-02-27 22:42:09+00:00,1
99,lmfaooooooooo listen.. that put me into a deep depression no lie. im tryna get outta this funk man no joke!!!!,2019-02-27 22:40:17+00:00,-1
100,"i could have written this. i so get it. my husband has had depressive episodes, but i believe they were situational.- so much different than chronic depression. hubs tries to be patient but can't fully understand that when i'm struggling, seemingly easy things are impossible",2019-02-27 22:40:08+00:00,-1
101,"complex magazine t mobile and the bank.. cause waaaaayyy moore suicides than ""the great depression"" but please donask me to prove it right no",2019-02-27 22:39:51+00:00,0
102,depression's such a bitch. i'll be happy as a clam for a few days and then all of the sudden i feel like literally nothing in the world could fix the way i feel. fuc,2019-02-27 22:38:40+00:00,1
103,"i dig myself out of depression, the glow up is personal bab",2019-02-27 22:38:05+00:00,-1
104,i feel so horrible lately i hate depression where did my mania go i miss it anything has to be better than the way i feel right no,2019-02-27 22:34:49+00:00,-1
105,about to shave my head between having kids and having depressio,2019-02-27 22:34:47+00:00,0
106,please stop posting your hotdogs and nachos at any and all baseball games i am in a low carb depression!!!!!!,2019-02-27 22:34:42+00:00,-1
107,"slowly coming out of my depression funk i fell into a few weeks ago, my mind and body are exhausted but im ready for chang",2019-02-27 22:34:19+00:00,0
108,"so my wife's anxiety and depression are up. we've had to cancel our vacation and she's blaming herself and no matter how much i try to talk to her about how this isn't her fault, illnesses are illnesses...she won't listen. she left crying on her way to group tonight :",2019-02-27 22:34:00+00:00,-1
109,"hey luh i have depression, what advice would you give me?",2019-02-27 22:33:35+00:00,-1
110,"i would rather go through my lifetime dealing with my anxiety and depression, than to take another fucking zoloft",2019-02-27 22:31:22+00:00,-1
111,thanks for the courage to share that. i think your awesome. if you ever need to talk i'm here. i struggle with depression and anxiety myself. you are not alone. keep up the fight!!,2019-02-27 22:31:14+00:00,1
112,sorry guys i havent been online because i been going through depression and hard for me to deal with but my family support push me through it and here i am love u guys keep supporting me n following me have a blessed da,2019-02-27 22:31:10+00:00,1
113,think im just ready to accept the fact that ive let myself slip back into depression after months of feeling alrigh,2019-02-27 22:30:26+00:00,1
