0,timestamp,target
"and seem to have a lack of motivation for continuing in life. again, i dont think this is me being suicidal or is it depression. i have no idea what it is. these random thoughts just surfaces when im alone. i dont seem to be able nor do i really feel like talking about it",2019-02-27 16:34:48+00:00,-1
"ive lost souls to depression &amp; yet i can never get an answer to why did they do it, its never easy..",2019-02-27 15:18:02+00:00,-1
i was just tryna flex now i have depression,2019-02-27 23:45:42+00:00,-1
"i hope you see this tweet. do what makes you happy matt, i think i speak for a lot of your fans in that we all want you to be happy with what you do. and if you're not, then do what makes you feel better. i have depression too, by the way, your video on it helpe",2019-03-30 22:08:24+00:00,1
"having been to two rickford plenaries in the past year i can confidently say ""boy i have depression"" about, like, a lot of i",2019-03-30 18:08:28+00:00,1
answer to why do some people recover from depression and get over it while i struggle for years and see no progress? by michael meissner,2019-04-29 23:27:07+00:00,-1
just checked my grades time for a depression na,2019-04-29 18:44:19+00:00,-1
"having a post depression.... my all time favourite marvel superhero is no more although i already know the outcome of the end before watching it as i've read the comic strip but it is just sad.... marvel,...",2019-04-29 12:52:43+00:00,-1
used to joke about crippling depression. now when i have depression ain't that funny any mor,2020-04-29 19:25:38+00:00,-1
how can i have depression when i have tiny bear crackers and animal crossing,2020-04-29 19:49:52+00:00,-1
i am not suicidal. i have depression stemming from my c-ptsd but i have no desire to end my life whatsoever. i do not drink. i have no underlying health issues. i have a blood disorder that is only triggered by some sort of bodily trauma,2020-05-30 17:02:30+00:00,-1
im literally crying my eyes out because i finished a really good series...post drama depression is rly not funny,2020-05-30 19:28:09+00:00,-1
"i cried when trump was elected. i thought it would be bad. i never, ever thought that in years: depression levels of unemployment k dead race war brewing america on fire us institutions corrupt the world openly feels sorry for us november cant come soon enoug",2020-05-30 14:06:38+00:00,-1
how your other sibling suppressed his feelings by gaming and working until hes numb? how all your relatives changed the way they speak around your family? and i have high functioning clinics depression so stfu,2020-05-30 13:06:03+00:00,-1
"and i hate it so much when people think im making of committing suicide and depression like a big fuck you to you. what did you ever go through? a friend committed suicide? are you sure he/she was your friend before they died because if they were, you would have paid attentio",2020-05-30 13:03:12+00:00,-1
am the kind of person who binges a drama i rly like and then dive into depression once its over. like wtf do i do now? how do i bring the characters back? pls write more episodes,2020-05-30 12:14:13+00:00,-1
"theres a problem with how we use language around mental illness saying i am depressed makes it our defective identity! but first, depression is real! its an experience, not an identify. its something you go through, not someone you are. start saying i have depression",2021-01-30 17:10:51+00:00,-1
self diagnosis is good actually because kids without great support nets being able to recognize symptoms of mental illness and find helpful communities and resources is way more important than a kid saying i have depression when they dont is annoyin,2021-01-30 22:43:39+00:00,-1
i was feeling okay but then i thought about being depressed and worked myself into a depression is this what manifesting your goals is like,2021-02-27 14:44:27+00:00,-1
i will try and remember this as depression destroys my memory,2021-02-27 13:38:02+00:00,-1
"while i agree bad monetary policy was the dominant force, i think more open immigration would have done even more than you suggest in mitigating the great depressionboth a larger domestic market and immigration-related increases in trade would have made us less vulnerable",2021-02-27 17:50:55+00:00,1
as soon as it hits degrees my seasonal depression turns of,2021-02-27 22:03:30+00:00,-1
"just finishing week of my depression and anxiety med, bump up to full pill starting tomorrow. not feeling a huge difference yet but im just focusing that i finally asked for help. you dont have to be ashamed to ask for help! dont forget you matter!",2021-03-30 22:12:48+00:00,1
omg imagining a world with informative sw and drug education made me forget i have depressio,2021-03-30 22:49:01+00:00,-1
i miss calling into work for a mental health day and spending the day sleeping and ignoring my depression,2021-03-30 22:01:40+00:00,-1
"""constantly chasing these fancy certificates, programs, and awards has just made me and my peers feel even more inadequate. the culture of youthful achievement has fostered anxiety, depression, and burnout.""",2021-03-30 19:26:29+00:00,-1
"suspended members have been left waiting for months to hear back from the party. the only support offered was the number for samaritans and to contact your gp. i have spoken to members who have suffered anxiety, depression and sleepless nights. members have been fearful",2021-03-30 16:44:02+00:00,-1
"calling all my sociopath former friends who abandoned me knowing i have depression, suicidal thoughts, and abandonment issues murderers just feels right. no need to name names and start drama. just consequence for your actions",2022-01-30 22:25:23+00:00,-1
"maybe im sick of conforming to every demand, biting my tongue every time i get blamed for something i didnt do. maybe im going through something. i hoped you picked up on it, but all you see is my frustration, not the exhaustion and depression, and you hate it. so do i",2022-01-30 15:32:42+00:00,-1
"here's a super difficult thing i realized today: although i have depression, i feel like it is warranted, and i don't feel like therapy is the answer to it.",2022-02-27 21:15:44+00:00,-1
cheese's sunday facts about me. i have depression and anxiety from my time in the air force. i use working in pharmacy to have purpose. and gaming and streaming as my happy place so streaming to me is my mental health break so that's how i'm so positive.thanks for being a friend,2022-02-27 17:42:50+00:00,1
not sure why but i have a suspicion i have undiagnosed high functioning depression. been lying in bed all day today and this week just feel tired all the tim,2022-02-27 13:58:13+00:00,-1
i just did a bible study my anxiety and depression been getting m,2022-03-30 14:29:27+00:00,-1
