timestamp,tweet_text,Location
2019-02-27 23:36:36+00:00,the brain is actually affected by depression. individuals with depression have been found to have reduced prefrontal context activity and smaller hippocampus (hippocampi?) volume.,Singapore
2019-02-27 19:55:46+00:00,existential depression: signs you're gifted | depression alliance,Singapore
2019-02-27 16:34:48+00:00,"and seem to have a lack of motivation for continuing in life. again, i dont think this is me being suicidal or is it depression. i have no idea what it is. these random thoughts just surfaces when im alone. i dont seem to be able nor do i really feel like talking about it",Singapore - 新加坡 - シンガポール
2019-02-27 16:32:16+00:00,"truthfully, no idea what am i feeling right now, nowadays. i dont think i have depression and i dont really think its suicidal thoughts. i feel tired and i question why am i doing the things im doing now. why go through this and whats the meaning behind all this",Singapore - 新加坡 - シンガポール
2019-02-27 15:18:02+00:00,"ive lost souls to depression &amp; yet i can never get an answer to why did they do it, its never easy..","West Region, Singapore"
2019-02-27 14:47:41+00:00,"i just hope people dont romanticize depression. its an actual illness. many tom, dick and harry nowadays regard sadness as depression. pls learn the difference. im just worried that this term would be overused to the point where it no longer holds any value","North-East Region, Singapore"
2019-02-27 14:19:26+00:00,"depression is a deadly illness. we dont usually see the consequences until its too late. to anyone who feels that they know of someone who's going through a tough time, stand with them. let them know that they're not alone and that they can trust you to share their issues with","Sembawang, Singapore"
2019-02-27 23:10:09+00:00,i know: more evidence about benefits of exercise. this is very convincing: help with depression! even a short walk can put you on the path to better mental health. i am certain this has been a key to maintaining better mental balance for me. more here.,"West Region, Singapore"
2019-02-27 23:10:02+00:00,are there any sites that offer therapy over skype?. i offer online therapy over skype for treating anxiety and depression. see:,"North Region, Singapore"
2019-02-27 23:09:07+00:00,"i was ashamed for a week i cried turned me into another person, because i let someone else put me into a position that could of landed me in i fought a person that didn't fight back she was all talk and know work, it's sad to fight a person not fighting bac",Singapore
2019-02-27 13:23:59+00:00,woohoo depression vibes,Singapore
2019-02-27 12:21:39+00:00,"i think the biggest problem about depression is that very often, you cant tell that the person is depressed","West Region, Singapore"
2019-02-27 12:00:01+00:00,founder loneliness- one of the leading causes for founder depression- has some insights into how we can combat it.,Singapore
2019-03-30 16:47:56+00:00,depression is not a joke. you may see someone smiling but inside theyre dying,Singapore
2019-03-30 15:38:37+00:00,inbreeding depression comes from genetic load which accumulated over time,Singapore
2019-03-30 09:40:04+00:00,when you just walk away from me... try experiencing depression and anxiety attacks. maybe then you'll understand how i feel,Singapore
2019-03-30 08:07:12+00:00,id probably win cause the sigaporean dream is depression and an early death,Singapore
2019-04-29 23:27:07+00:00,answer to why do some people recover from depression and get over it while i struggle for years and see no progress? by michael meissner,Singapore
2019-04-29 21:15:52+00:00,via .com: facts that exercise helps reduce depression and anxiety,Singapore
2019-04-29 18:44:19+00:00,just checked my grades time for a depression na,Singapore + saudi + canada 
2019-04-29 16:05:24+00:00,duniya bhar ki takleefe in paise waalon ko hi aati hai.. and they want more money in the name of depression,Singapore
2019-04-29 14:29:20+00:00,"struggling with depression, insecurity, body issues, anxiety, and the constant state of existential crisis. wallowing in self pity and sinking deeper. im not good enough","West Region, Singapore"
2019-04-29 14:09:55+00:00,"friends ask me why i'm desperate to move abroad. i normally say that i want to experience life elsewhere. the truth is, i just want to get away from family. in therapy, i learned the biggest factor causing my anxiety and depression is family",Singapore
2019-04-29 13:57:09+00:00,"src may newsletter: accepting new referrals, new polyamory group, salon focusing on countertransference in treatment of perinatal depression &amp; more.. -","West Newton, MA"
2019-04-29 12:52:43+00:00,"having a post depression.... my all time favourite marvel superhero is no more although i already know the outcome of the end before watching it as i've read the comic strip but it is just sad.... marvel,...",Singapore 
2020-03-30 22:00:11+00:00,depressio,Queenstown-Lakes District
2020-04-29 23:53:16+00:00,"she is spitting straight facts because you canspell ""literally"" and spelt it like, ""litterly"" dude thats not a word and also people doncommit suicide because of comments, but itbecause of depression. and the way you responded was immatur",Singapore
2020-04-29 19:25:38+00:00,used to joke about crippling depression. now when i have depression ain't that funny any mor,Singapore
2020-04-29 17:38:47+00:00,depression slowly coming out at night,"Singapore , Japan , Malaysia"
2020-04-29 16:24:46+00:00,dr cohen needs to listen to the post pop depression album. stat,"Mad River Valley, Vermont"
2020-04-29 15:56:47+00:00,best case scenario is depression. agree,Singapore
2020-05-30 23:59:06+00:00,commentary: expect higher levels of anxiety and depression when covid-19 restrictions lift,Singapore
2020-05-30 19:42:54+00:00,"guys, lets start some campaign by using hash tags like start using these rigorously and tweet everywhere, wherever it is possible. (i know there are very less chances of hearing our voices",Singapore
2020-05-30 19:28:09+00:00,im literally crying my eyes out because i finished a really good series...post drama depression is rly not funny,"Central Region, Singapore"
2020-05-30 15:27:24+00:00,"just read the in gold we trust report. v educational. at the same time, v worrying. it paints the picture of a v fragile system due to the amt of global debt accumulated. we may also b at the end of a yr debt super cycle. i.e. we might be going into a depression",Singapore
2020-05-30 14:30:16+00:00,"does not equal but unfortunately, most people believe that and that put it out there that we all are depressed arent helping in showing that you can be happy and :",Singapore
2020-05-30 14:26:14+00:00,futchamps causes depressio,Singapore
2020-05-30 14:06:38+00:00,"i cried when trump was elected. i thought it would be bad. i never, ever thought that in years: depression levels of unemployment k dead race war brewing america on fire us institutions corrupt the world openly feels sorry for us november cant come soon enoug","Newton, MA"
2020-05-30 13:06:03+00:00,how your other sibling suppressed his feelings by gaming and working until hes numb? how all your relatives changed the way they speak around your family? and i have high functioning clinics depression so stfu,Singapore
2020-05-30 13:03:12+00:00,"and i hate it so much when people think im making of committing suicide and depression like a big fuck you to you. what did you ever go through? a friend committed suicide? are you sure he/she was your friend before they died because if they were, you would have paid attentio",Singapore
2020-05-30 12:14:13+00:00,am the kind of person who binges a drama i rly like and then dive into depression once its over. like wtf do i do now? how do i bring the characters back? pls write more episodes,Singapore
2020-05-30 15:59:26+00:00,"how much of this mayhem was caused by tyrannical orders that destroyed jobs, businesses &amp; lives? i know it affected the mental health of people from the isolation, loneliness &amp; depression caused by walz's long, unnecessary total lockdown?",Singapore
2020-05-30 15:59:14+00:00,"i deal with mild depression on a constant basis, im trying to overcome it but its a battle sometimes",Singapore
2020-05-30 15:58:54+00:00,"michael greger, m.d. on how not to die | rich roll",Singapore
2020-05-30 15:58:37+00:00,check the curriculum in schools i checked my brother's history book they are doing great china.. germany .. america depression ... nothing on south afric,Singapore
2020-05-30 15:58:05+00:00,"idk what the mind body stuff is but i agree it wouldnt help me (i have that too). i however have depression, anxiety &amp; cptsd (even worse after a car accident last year). i found that the body scans meditations really help my anxiety &amp; cptsd &amp; made it so i could drive agai",Singapore
2020-05-30 15:58:01+00:00,"it's gonna get worse. we have or more eclipses, planets are retrograde, and no leadership. the last time these markers were in place were during the depression, the civil war, and previous riots that led to the union movement for the working class. it's all cyclical",Singapore
2020-05-30 15:57:15+00:00,"another day another hour roller coaster ride. i'ts gotten to the point where i don't even want to go out anymore. must be . i have bad , so depression isn't far away. i honestly feel that !",Singapore
2020-05-30 15:57:01+00:00,keep an eye on noaa news today: tropical depression se of bermuda currently has % chance of becoming a problem for the nd try launch. now wouldn't that be a shame..,Singapore
2020-05-30 15:56:14+00:00,from the great depression. never throw anything away,Singapore
2020-05-30 15:55:37+00:00,"so if we can turn it around, and start looking beyond. helping others and seeing how that really makes us better. dont fight for money, fight for people. then you will matter, because everyone will matter again. no more depression and anxiety and hate and suicide",Singapore
2020-05-30 15:55:08+00:00,exhale the depression as the wind blow,Singapore 
2020-05-30 09:37:42+00:00,ps. spread kindness not hatred cause you hating on others does nothing but cause them to have depression and health problems and that doesnt bring any good thing to you and dont hate on kpop groups you dont like just because you dont stan them,Singapore
2021-01-30 22:30:00+00:00,"this months ptm warrior is lauren. she is here to share her experience with multiple to include , , chronic and to name a few"":",Singapore
2021-01-30 16:35:56+00:00,depression feels fucked up tho,Singapore
2021-01-30 16:18:26+00:00,sigh people is facing money woes....money depression depleting...,"Asia, Singapore, Thailand"
2021-01-30 18:03:18+00:00,woke up this morning to find my melancholic depression replaced by absolutely unbridled rage,Singapore
