timestamp,tweet_text,Location
2019-02-27 20:07:06+00:00,"listen to (on loan at northampton town from burton albion) who bravely spoke out about depression...""a passenger on my own journey""","London, UAE, Barcelona"
2019-02-27 19:32:17+00:00,maybe worth asking (on loan at northampton town) who has written movingly about young male depression. listen here.,"London, UAE, Barcelona"
2019-02-27 14:02:46+00:00,"it's just the depression, but oka",United Arab Emirates
2019-02-27 13:17:57+00:00,he doesnt understand the trauma i go through when i get ignored by him and it really doesnt help my self esteem especially with my social anxiety and depression im going through and sometimes i really just wanna shut myself out because i get neglected by hamda,United Arab Emirates
2019-02-27 12:56:59+00:00,"this depression attack is from skipping my morning workout, knew i was gonna regret it! its amazing how my training sessions work as natural endorphins",Abu Dhabi
2019-02-27 12:43:26+00:00,if these two years do not go by faster my depression is going to be in a whole new leve,United Arab Emirates
2019-02-27 12:28:42+00:00,im using this what should i call my blackheads thou? depression dots,Ohio | Dubai | Aden
2019-02-27 12:26:21+00:00,she's hurt. she cries. but you can't see the depression in her eyes. because she smiles,"Ajman, United Arab Emirates"
2019-02-27 23:06:29+00:00,"i am so very much looking forward to our yearly return to the south. we are getting heavy snowfall at home currently and my seasonal depression is setting in. i am dreaming of sunshine,",Sharjah
2019-02-27 23:06:08+00:00,time for a good old depression session i gues,"Dubai,UAE"
2019-02-27 23:06:07+00:00,"its almost been a week since 's concert and my post concert depression is still going strong! missin' my fellow georgeian lots! woodstock, georgia","Ajman, United Arab Emirates"
2019-02-27 23:05:53+00:00,"that is right, you never know what someone might do, because of depression.",UAE
2019-02-27 12:24:52+00:00,depression ric,"Dubai, United Arab Emirates"
2019-03-30 18:21:40+00:00,i need yall to stop thinking my depression has anything to do with yalls crusty ass. its an illness ive been fighting for years. take your egotistical needs elsewhere. perioddd,Abu Dhabi
2019-03-30 17:31:40+00:00,"keep jasmine plant in your room. it reduces anxiety, panic attacks and depression",Abu Dhabi Dubai London LA NYC
2019-03-30 17:17:04+00:00,oh my god is this noura complimenting me ? plastic surgery plans: cancelled. depression: cured,United Arab Emirates
2019-03-30 17:13:31+00:00,thank god for depressio,Abu Dhabi 
2019-03-30 17:07:46+00:00,not attending school is often related to medical reasons such as depression and anxiety. parents and students understand the importance of being in school ... it's just sometimes not as easy as it appears to make that happen,"Abu Dhabi, UAE"
2019-03-30 16:41:32+00:00,i had a hour depression nap lmao. will i get to bed tonight ? probably,"Dubai, United Arab Emirates"
2019-03-30 14:41:42+00:00,depression ka wahid hal namaz hi hai lekn ye samjhny k lye hmy itna waqt kyu lg jata hai,"Dubai, United Arab Emirates"
2019-03-30 13:52:32+00:00,maybe my increasing sleeping pattern is not a sign of depression maybe i just love sleep no,Abu Dhabi
2019-03-30 13:31:59+00:00,"we have muslims who say the same sort of thing, all you need is to depend on allah. they don't understand that not all depression is situational, that there is no shame in seeking medical help... they are part of the problem",American expat in the UAE
2019-03-30 11:57:23+00:00,"looping negative thoughts/behavior, on rewind over a long period of time, is a sure way to depression. break the loop with good thought",L.A/UK/Dubai/Kuwait
2019-03-30 10:48:46+00:00,"took a break for a year. depression and all. and when i was back for college, i didn't do well soo yeah","Abu Dhabi, United Arab Emirate"
2019-03-30 10:22:06+00:00,it took me a while... but i'm finally starting to pull myself out of depression,"Dubai, United Arab Emirates"
2019-03-30 08:13:19+00:00,"isn't what most people say: it's a sum of ups and downs, depression, doubt and insane .","Dubai, United Arab Emirates"
2019-03-30 08:06:22+00:00,"im eating a tub of ice cream to make me feel better, hopefully. lately i feel so ugly and weak. lately i stopped interacting more with anyone not because i dislike them but because i dont have the energy to do anything, including interacting to anyone. depression sucks.","Abu Dhabi, United Arab Emirates"
2019-04-29 23:04:48+00:00,cigarrettes and depressio,"Abu Dhabi, United Arab Emirates"
2019-04-29 18:53:52+00:00,"islam teaches you to deal with everything in a logical, scientific matter and that applies to depression. telling a depressed person ""hey you lack faith"" doesnhelp anyone even if itcorrect",Abu Dhabi
2019-04-29 17:56:22+00:00,stop comparing your chapter to someone else's chapter or else you will just die of depressio,"Dubai, UAE "
2019-04-29 16:35:08+00:00,depression level,United Arab Emirates
2019-04-29 14:29:29+00:00,could also be the depression and she drinkin to cop,Dubai
2019-04-29 13:31:34+00:00,trigonometry: - angle of elevation and depression(word problems)--20. via,"Dubai, United Arab Emirates"
2019-04-29 13:31:15+00:00,trigonometry : - ( angle of elevation and angle of depression ) -- via,"Dubai, United Arab Emirates"
2020-03-30 20:58:22+00:00,because of what is following: depression... and something tells me we will correlate with the economy. really fucked up times. hence:,"Dubai, United Arab Emirates"
2020-03-30 19:21:41+00:00,its the great depression indee,"Dubai, United Arab Emirates"
2020-03-30 19:14:49+00:00,super .the entire fihadi world just went to depression hearing this news,UAE
2020-03-30 18:51:00+00:00,"hamza bai, this mindaet is need to be changed through awareness..ppl r getting sick bkz of depression.the person who cough is considered as a culprit unlike +covid-19. allah apna habib(saww) ke sadqa rehmo karm karay",Abu Dhabi
2020-03-30 18:22:45+00:00,,Abu Dhabi 
2020-03-30 18:21:39+00:00,but thanks for the interesting info,Abu Dhabi 
2020-03-30 18:12:08+00:00,"they survived the spanish flu, the depression and the holocaust two extraordinary women one , the other lived through the worst of the th century. they have some advice for you.","Dubai, United Arab Emirates"
2020-03-30 18:08:55+00:00,turn on the music before th depression takes over,United Arab Emirates
