0,timestamp,target
jesus was blinded for me. jesus had schizophrenia for my sake,2019-02-27 11:43:58+00:00,0
. asks: should mental disorders have names? i thought they already had names? schizophrenia manifesting as seeing russia behind everything is named hillary. attention deficit hyperactivity disorder manifesting as not being able to finish a full sentence is named donald.,2019-02-20 08:01:06+00:00,-1
it pisses me off knowing that majority of the jobs i apply for i have to tell them i have schizophrenia and i feel like thats why ive missed out on so many opportunities,2019-02-24 06:49:13+00:00,1
i assure you i will always have schizophrenia,2019-03-23 14:17:35+00:00,1
"i hope you can solve your own problems, my dear schizophrenia",2019-03-23 13:44:39+00:00,1
"this is a very complicated case, i see not one but half a dozen disorders! anxiety &amp; panic bipolar depression eating disorder schizophrenia substance abuse &amp; addiction simply incurable. case file closed.",2020-03-26 07:24:01+00:00,-1
"oh my god guys this is effing hilarious because of my (officially legitly mind you) diagnosed schizophrenia mind state - ness, look at how wild my playlists on youtube are",2020-03-09 17:30:36+00:00,1
i love my doctors and my medical providers at ochsner medical all i have is mad respect for what they are doing sing the fact that i have schizophrenia and that i have accepted that i am schizophrenic and i am excited to be schizophrenic.,2020-03-11 03:19:41+00:00,1
"while i do not condone any of her actions like being horrible towards to everyone, azula is indeed a tragic character mentally abused to the point of schizophrenia by an unloving war tyrant of a father",2020-04-26 18:49:45+00:00,-1
"at work people says im so happy, being crazy and so nice to my pts but i myself am diagnosed with schizophrenia and bipolar. what an iron",2020-04-18 17:49:20+00:00,1
"how are y'all with , &amp; diagnosis? is important. is &amp; stressful for u? check out in usa for the latest. are y'all able to pick up ur medications? my prescriptions filled still (asia",2020-04-17 15:47:33+00:00,-1
"how are you all doing, who have diagnosis of depression, schizophrenia and anxiety? i use writing as something cathartic for myself, snippets here and there. i have some private slow wip work in progress, soon to show up.",2020-04-16 06:54:51+00:00,-1
"schizophrenia, i usually spell it like pschyzophrenia",2021-01-21 22:25:36+00:00,1
"i'm a.j. i've had to deal with a tbi since . been diagnosed with bipolar, schizophrenia, eps, among other mental illnesses over the years. my last hospitalization was in december . i'm happy to say i'm doing better. been employed since march .",2021-01-22 03:40:22+00:00,1
one of my successes was talking a young man with schizophrenia into voluntarily going to the hospital (he had stuck a knife in his parents' door). officer drove him to the hospital,2021-01-22 23:56:33+00:00,1
"i fucking hate when people use every ableist excuse in the book to explain alice in wonderland. shea seven year old with an overactive imagination who fell asleep. shenot ""insane"" nor does she have schizophrenia. you cantell me you never had trippy dreams as a child",2021-01-23 04:33:49+00:00,-1
leader can take on many forms. like a union representative or someone when youre working with them. as long as you can flow you can be good. its all about the flow. i have schizophrenia so sometimes i get caught in this flow and cant escape it,2021-01-25 06:23:02+00:00,1
hi i have schizophrenia and i still brush my teeth regularly you nasty bitch. stop using mental health as a crutch to be gross,2021-01-25 21:01:39+00:00,-1
"been so tired lately. my schizophrenia has been acting up too, i get a lot more noise and chatter and junk in my head when i'm stressed or not sleeping. trivia was a good distraction tonight. just need to keep myself busy i guess",2021-02-17 07:03:21+00:00,-1
i am a son of a dalit mother who suffered from debilitating schizophrenia. i hv noticed every th/5th dalit female suffers fm some form of mental illness. it's a subject that really needs research,2021-02-13 07:01:16+00:00,-1
"i got another summary email from the schizophrenia forum. i looked around a bit on the forum, but didn't sign in. aziz seems to be considering looking for work, now, which is good",2022-01-24 16:34:52+00:00,1
"had two cups of coffee but im still sort of sleepy. ugh, damn meds. is what i am, my main mental issue",2022-01-24 19:26:14+00:00,-1
hey. if i upload my brain into a robot would i still have schizophrenia,2022-03-30 04:25:00+00:00,0
me when i dont take my schizophrenia pill,2022-03-22 18:21:00+00:00,0
