0,timestamp,target
"there are many values and i think you know them. but i was focusing here mainly on secularism. even though leftits believe in secularism and some don't believe in religion, they support religious advocates against liberals in the mena region. is that schizophrenia or racism",2019-02-23 06:27:17+00:00,-1
ele bali balek once told me that he/she has schizophrenia and sees her/his dead friend every now and then and sometimes talks to him,2019-03-23 06:46:56+00:00,-1
"it seems like im the only one whos unhappy about todays psychiatry osce my examiner sucked, my patient was the worst ive ever met, and i picked the wost cases, anxiety and schizophrenia..",2019-04-25 16:39:09+00:00,-1
my mind with city and my heart with liverpool! ?,2019-04-17 06:42:27+00:00,0
"happy birthday, as an autistic that was diagnosed with adhd, autism, asperger's, and later on schizophrenia, i don't quite get the stress of living with autism. it's never quite affected me, i just see it as it's the way i am, and there's nothing i can do about it",2021-01-24 21:29:17+00:00,1
am i a weakling if i don't watch horror movies due to my schizophrenia,2021-02-22 18:34:11+00:00,1
just watched a horror film about schizophrenia and feel like i now need to listen to this talk,2021-02-17 19:24:03+00:00,-1
my two moods when i play my music on shuffle,2021-03-22 15:20:20+00:00,0
yeah. since i'm a unity of being kind of guy i also have been contemplating throwing myself on the absolute - one doesn't need to fear one's contradictions because there is always something non-contradictory that underlies them. here schizophrenia lights up as quite important,2021-03-26 14:58:33+00:00,1
if only i could...but nope. schizophrenia and bipolar and a history of asthma don't really lend themselves well to the armed forces,2021-03-26 01:45:13+00:00,1
you and i both know the vast majority of those with schizophrenia are non violent. and the stigma + uninformed ppls ignorance make me sick too,2021-03-27 13:46:45+00:00,-1
"i also suffer from depression and anxiety as well as schizophrenia. generally depression passes on its own in time unless you force yourself out of it , you can be bedridden for days &amp; i'm sure you know that. try taking a shower, aromatherapy, making coffee. no bedroom!",2021-03-28 12:37:54+00:00,-1
"i'm a self taught horror artist born with a form of schizophrenia and bipolar disorder that gets treatment instead of turning to drugs, i'm also working on getting discovered so i can begin my career as a artist",2021-03-28 20:33:21+00:00,-1
". my father has schizophrenia, but hes good people. asli winner umar ria",2022-01-29 09:46:43+00:00,1
my friend i could tell you have weird fantasies or schizophrenia....seek help,2022-01-21 10:29:31+00:00,1
i completely agree bro. i have schizophrenia with bipolar and severe social anxiety. so i battle agoraphobia every day.i was ready for the smith and myers show in indy.but had an attack.went back when it wasn't so busy and took this shot. thank you guys for keeping me alive.,2022-01-23 14:07:37+00:00,1
"had two cups of coffee but im still sort of sleepy. ugh, damn meds. is what i am, my main mental issue",2022-01-24 19:26:14+00:00,-1
i cant see how these would translate well in arabic for example. i use psychosis and psychotic disorder. it gets the message across without the level of stigma associated with schizophrenia,2022-03-22 04:07:25+00:00,0
