timestamp,tweet_text,Location
2019-02-27 11:43:58+00:00,jesus was blinded for me. jesus had schizophrenia for my sake,Singapore
2019-02-24 16:45:42+00:00,you have schizophrenia!,Singapore
2019-02-22 16:09:12+00:00,"typical walk of schizophrenia afflicted christo-islamic british brahmin, when clad in a dhoti.",India | Europe | Singapore
2019-02-22 12:11:41+00:00,creating a breed of schizophrenia and depression monkeys genetically . wtf! go and suck some monkey's dick to get some sense in y'al,"Central Region, Singapore"
2019-02-20 08:01:06+00:00,. asks: should mental disorders have names? i thought they already had names? schizophrenia manifesting as seeing russia behind everything is named hillary. attention deficit hyperactivity disorder manifesting as not being able to finish a full sentence is named donald.,Singapore
2019-03-27 13:26:35+00:00,schizophrenia.,Singapore
2019-03-27 08:42:10+00:00,recap of the players: andrew is schizophrenia marcus is telepathy junyang is hallucination and nicholas is sexual harassment. oh man. see my life,Singapore
2019-03-26 03:25:00+00:00,he's a year old man who has schizophreni,Singapore
2019-03-23 14:29:50+00:00,eating tina cures schizophrenia,Singapore
2019-03-23 14:19:47+00:00,"friends, schizophrenia is tuna.",Singapore
2019-03-23 14:17:35+00:00,i assure you i will always have schizophrenia,Singapore
2019-03-23 14:15:24+00:00,"you are the prime minister of singapore, the schizophrenia. everyone needs you.",Singapore
2019-03-23 13:44:39+00:00,"i hope you can solve your own problems, my dear schizophrenia",Singapore
2019-03-17 03:49:51+00:00,every time someone describes something/somebody as schizophrenic it's almost always inappropriate. schizophrenia is not split-personality disorder,Singapore
2019-03-16 11:21:25+00:00,": dr. vaishal vora is a renowned working in ahmedabad, india. keen interest in &amp; worked on several in , &amp; . connect with him on credevo",Singapore
2019-03-15 17:17:34+00:00,/4 i have seen and have worked with every kind of disability under the sun. everything from the child that is battling schizophrenia who routinely sees and hears things that are not there to the autistic student who periodically,"The Woodlands, TX"
2019-04-23 12:42:59+00:00,"usa, good luck, you are all going to get schizophrenia. have a good taste",Singapore
2020-03-26 07:24:01+00:00,"this is a very complicated case, i see not one but half a dozen disorders! anxiety &amp; panic bipolar depression eating disorder schizophrenia substance abuse &amp; addiction simply incurable. case file closed.",India | Europe | Singapore
2020-03-14 11:21:48+00:00,a tragic case the issue as i see it after years in and two in is: clinicians stopped truly believing in or using terms such as -everything started to become personality issues &amp;,Singapore
2020-03-14 11:11:30+00:00,"the irony of me, a person who was obsessed with schizophrenia as a teenager like many edgy teens of our days, having schizoaffective disorder is not lost on me",Singapore
2020-03-14 10:34:33+00:00,"schizophrenia: a psychological disorder characterized by disorganized and delusional thinking, disturbed perceptions, and inappropriate emotions and actions.",Singapore
2020-03-14 09:10:00+00:00,playing with fire! the mafia will never harm a hair on the head of the current stooge in office! others of higher quality thinking im not so suture about stitches? see what my schizophrenia did &lt;there?,Singapore
2020-03-14 22:43:04+00:00,sounds like she thinks schizophrenia is the same as having multiple personalities. she's an idiot,"North Region, Singapore"
2020-03-09 17:30:36+00:00,"oh my god guys this is effing hilarious because of my (officially legitly mind you) diagnosed schizophrenia mind state - ness, look at how wild my playlists on youtube are",Singapore
2020-04-27 03:43:48+00:00,"van goghs case is a sad one; over the years he suffered from epilepsy, bipolar disorder, schizophrenia &amp; alcohol poisoning. he had to end his life as things went beyond where he had no control. poverty is yet another synonym for vangogh. tragedy!",India | Europe | Singapore
