timestamp,tweet_text,Location
2019-02-23 06:27:17+00:00,"there are many values and i think you know them. but i was focusing here mainly on secularism. even though leftits believe in secularism and some don't believe in religion, they support religious advocates against liberals in the mena region. is that schizophrenia or racism",Dubai-UAE
2019-02-20 05:19:26+00:00,writing is a socially acceptable form of schizophrenia. e.l. doctorow,"Dubai, United Arab Emirates"
2019-02-16 19:13:27+00:00,matigari need a mental overhaul. he suffers from schizophrenia.,Dubai
2019-02-16 15:32:45+00:00,,UAE
2019-02-13 13:55:11+00:00,schizophrenia,United Arab Emirates
2019-03-27 05:43:13+00:00,high paternal age increases polygenic risk for schizophrenia and raises risk of children developing early-onset schizophrenia,"Dubai, UAE"
2019-03-23 06:46:56+00:00,ele bali balek once told me that he/she has schizophrenia and sees her/his dead friend every now and then and sometimes talks to him,"Dubai, United Arab Emirates"
2019-03-20 18:00:46+00:00,"what are coluracetam benefits? improves memory and learning, reduces treatment-resistant depression, anxiety, promotes neurogenesis, helps with schizophrenia, enhances eyesight","Dubai, United Arab Emirates"
2019-03-20 16:56:57+00:00,a -year-old's schizophrenia-like psychosis may have been caused by cat bacteria,"Dubai, UAE"
2019-04-25 17:41:07+00:00,a computational framework identifies high-risk genes for schizophrenia - via,Dubai Academic City ( DIAC )
2019-04-25 16:39:09+00:00,"it seems like im the only one whos unhappy about todays psychiatry osce my examiner sucked, my patient was the worst ive ever met, and i picked the wost cases, anxiety and schizophrenia..",United Arab Emirates
2019-04-25 12:16:01+00:00,"""supports central nervous system, neuroprotective against degeneration, improves cognitive function, attention &amp; mood, improves memory, helps schizophrenia, bipolar &amp; autism, increases energy, athletic performance &amp; power output &amp; speeds up recovery.""","Dubai, United Arab Emirates"
2019-04-23 23:58:09+00:00,schizophreni,"Dubai, United Arab Emirates"
2019-04-23 06:10:47+00:00,yea especially people who have schizophrenia on social media,Abu Dhabi
2019-04-22 21:52:42+00:00,"its worth,, to feel pain, suffering, schizophrenia, pressure, crushing, dropp off, collapse..//; thats , the art of life , // but in the complex way not a lot of human will understand that , woe to shame",", United Arab Emirates"
2019-04-19 21:25:52+00:00,opinion | he got schizophrenia. he got cancer. and then he got cured. - the new york times,"Dubai, United Arab Emirates"
2019-04-17 06:42:27+00:00,my mind with city and my heart with liverpool! ?,"Dubai, United Arab Emirates"
2019-04-15 19:46:11+00:00,schizophrenia is expandin,"Dubai, United Arab Emirates"
2019-04-15 11:10:21+00:00,this's schizophrenia,Abu Dhabi
2019-04-10 19:13:34+00:00,thirty new genes are found to be related to schizophrenia - via,Dubai Academic City ( DIAC )
2020-03-23 12:30:08+00:00,increases the activity of chat in rats with nerve cell damage. this increase suggests it may benefit patients with schizophrenia through this same enzyme. more research directly on people with schizophrenia is undergoing.,"Dubai, United Arab Emirates"
