,timestamp,tweet_text,Location
0,2019-02-27 23:59:32+00:00,"about to talk with my dubi friend to help curve his depression. i'm kinda depressed to but i will place the happy mask on &amp; ignore my shit to help clean his shit out of his system. after this if i succeed, i'll feel like i shit my shit out too. talk therapy, best there is","Tennessee, USA"
1,2019-02-27 23:58:16+00:00,its too early to go to sleep but my depression disagree,"Faggotville,USA"
2,2019-02-27 23:57:37+00:00,my seasonal depression is in full force with this late winter weather and im trying to combat it by starting up a gym routine again and setting up my bedroom after this move..... with like seven -hour naps in between. its a great mix of progress and debilitating lazines,PDX OR
3,2019-02-27 23:57:28+00:00,"the once-noble democrat party platform is no longer one for the oppressed but one for the depressed, and that depression is now epidemic derangement","Near Charlotte, NC"
4,2019-02-27 23:57:05+00:00,"hi _darlingdahlia_, thanks for following me! my purpose is to help those suffering from depression and anxiety! check out the day bliss challenge to get you on the right path to finding your bliss!","Minnesota, USA"
5,2019-02-27 23:57:01+00:00,"is a severe, long-lasting form of depression that affects new moms. if youre a new mom who has been struggling with depression, we hope this guide will encourage you take the steps you need to get help.","White Plains, New York"
6,2019-02-27 23:56:54+00:00,my wife has been depressed a lot more than years past. not finding a house in yrs hasn't helped. depression is scary thi g and it runs in her family,"St Louis, MO"
7,2019-02-27 23:56:40+00:00,anyone want to suck the depression outta my tiddies,"Midwest, USA"
8,2019-02-27 23:56:38+00:00,apparently depression and anxiety count because i see it on every app i've done and none are min wave so it must be a fed req at leas,"Houston, TX"
9,2019-02-27 23:56:37+00:00,"i washed and put away all my clothes, beeeeech. depression? i dont know her!","Phoenix, AZ"
10,2019-02-27 23:56:01+00:00,having an honest talk in a safe space about depression and suicide is different than a kid accidentally seeing their fav cartoon character kill themself out of the blue in a fake video,USA
11,2019-02-27 23:55:34+00:00,oh dear god. i want to strangle anyone that doesn't understand how depression works and judges those that have it.,"Raleigh, NC"
12,2019-02-27 23:55:22+00:00,how do you guys deal with someone who doesn't believe in your anxiety &amp; depression,➷ 𝘮𝘰𝘮𝘮𝘢 & 𝘸𝘪𝘧𝘦𝘺 ♡ PA
13,2019-02-27 23:55:04+00:00,weeks after that he was busted for lying. lots of people have depression. dont discount their pain for this moron. he needs to go to jail,"California, USA"
14,2019-02-27 23:54:58+00:00,"nicotine metabolized into cotinine which studied as a treatment for depression, ptsd, schizophrenia, alzheimerdisease and parkinsondisease. cotinine was developed as an antidepressant, cotinine fumarate ""scotine"" but it was never marketed","Issaquah, WA"
15,2019-02-27 23:54:27+00:00,i grew up around animals all my life. now i am forced to live without an animal and i feel like my soul is being crushed. seriously feels like its worsening my anxiety and depressio,"Ohio, USA"
16,2019-02-27 23:54:25+00:00,in a state of depression for months and its my fault. it fucking sucks. i feel like i ruined my life and i cant fix it. im sorry your pet isnt eating what kind of animal,MI
17,2019-02-27 23:54:05+00:00,actors and celebrities who have battled depression and anxiety (10 photos),"Va Beach, Virginia"
18,2019-02-27 23:53:47+00:00,hi shane i hate to be this person but its my th birthday and i just want to say that im so thankful for you always making me smile and laugh even when my depression has been a pain. thank you for teaching me life is worth it. i made it to,"Riverdale, VA"
19,2019-02-27 23:53:47+00:00,mood swings are such a pain. feeling so down in the gutter one minute then smiley and upbeat the next. the thing is that the depression is still there. it feels like a droning headache but in your whole body. still smiling tho,Missouri
20,2019-02-27 23:53:41+00:00,so i couldnt bring myself to watch that episode of black ink dealing with phors depression. i finally did &amp; wish i didnt. it broke me all the way down,"Durham, NC"
21,2019-02-27 23:52:35+00:00,"mindfulness for third-graders? meditation, yoga help kids ward off anxiety and depression","Houston, TX"
22,2019-02-27 23:52:34+00:00,"thank you for giving me an avenue to let my friends and family know about my depression and anxiety disorder. during my divorce was a dark time for me. i was able to pull myself out of it. thank you, you have a loyal fan","Centerville, OH"
23,2019-02-27 23:52:12+00:00,"social media is a direct reason for this generations depression, anxiety &amp; relationship struggles. but why tho? i think were comparing to the next persons fantasy life -wondering if were living our own right. you dont see life behind closed doors. (thread","Dickinson, ND"
24,2019-02-27 23:52:02+00:00,"as students struggle with stress and depression, colleges act as counselors","Springfield, MO"
25,2019-02-27 23:51:54+00:00,"les dejamos los enlaces de los lives from depression to mode of ____ que hizo la banda entre y , que fueron lanzados como dvd para el fanclub exclusivamente, pero que almas caritativas han subido a la red. se pueden...",MÉXICO
26,2019-02-27 23:50:50+00:00,my depression when it sees me click on my sad bitch playlist,"Richmond Hill, GA"
27,2019-02-27 23:49:41+00:00,volunteering for shit is the dumbest advice for depression lo,Commonwealth of Pennsylvania 
28,2019-02-27 23:48:42+00:00,depression is a drug you get rid of by eating whatever looks good.,"California, USA"
29,2019-02-27 23:48:33+00:00,i hope it's he is the only one can save me from my depression,"Texas, USA"
30,2019-02-27 23:48:22+00:00,men have depression and die of it because they fail to do what women do: nurture friendships,"Santa Ana, CA"
31,2019-02-27 23:48:10+00:00,"and i met with my psychiatrist yesterday and told him and he was like, ""thatbecause you have depression but you on meds"". why didni think of that?! he offered to try an additional med but i would rather just deal for now with riding out my few day depressive episodes","Carson, WA"
32,2019-02-27 23:48:04+00:00,self-contempt:,"New York, NY"
33,2019-02-27 23:48:00+00:00,what our new study reveals about the genetics and biology of suicidal behaviour via,Texas
34,2019-02-27 23:47:46+00:00,"""maybe someone else with depression may feel slightly less alone. and maybe family members, spouses and co-workers can be a little more aware that lots of people you know may be struggling secretly, right there in plain sight.""","New Hampshire, USA"
35,2019-02-27 23:47:29+00:00,all these carnival posts are gonna make me go into depression,"Miami, FL"
36,2019-02-27 23:47:05+00:00,seasonal depression in full forc,"Minnesota, USA"
37,2019-02-27 23:46:39+00:00,"wow, this hit me right between the eyes at just that moment. thank you for this, i'm thankful to have come across it. (i don't think things happen by accident.) depression (and more) has stolen so much from me, and i work as hard as i can to get it back, daily","New Hampshire, USA"
38,2019-02-27 23:45:43+00:00,"woke up to a random bout of lethargic depression and then had a low-key panic attack while trying to make plans to go back to ga and get the rest of our stuff out of storage. brain, please. i just want to write..",FOR THE HONOR OF GALLOWMERE!!!
39,2019-02-27 23:45:42+00:00,i was just tryna flex now i have depression wt,"Oklahoma, USA"
40,2019-02-27 23:45:00+00:00,skype therapists for help with anxiety and depression. see:,"Boulder CO, USA"
41,2019-02-27 23:44:53+00:00,labors share of domestic income has been declining since and has barely recovered in this expansion from lows last seen post-great depression,"Washington, D.C."
42,2019-02-27 23:44:46+00:00,"yes, many of us suffer from depression, it is real. but lets not excuse his vile behavior","Midland, TX"
43,2019-02-27 23:44:40+00:00,"i woke up this morning more depressed than ive been in a long time. i went to class, i ate healthy all day, and i helped spread some joy. im so fucking proud of myself. depression isnt gonna win this time","Austin, TX"
44,2019-02-27 23:44:26+00:00,so if you had a choice between and marijuana what would it be. issa bitc,"Ohio, USA"
45,2019-02-27 23:44:16+00:00,this is just one of the great books collected from around the world by the whole world news with over real people visiting! &amp; &amp; &amp;,Somerset Kentucky USA
46,2019-02-27 23:44:12+00:00,lmaoo yea i agree but when your in depression its never to early,"Houston, TX"
47,2019-02-27 23:43:50+00:00,are you a mom with depression? we are looking for you.,"Houston, TX"
48,2019-02-27 23:43:30+00:00,how to treat depression in prisonand why it matters via,"St. Cloud, MN, USA"
49,2019-02-27 23:43:01+00:00,depression rearranged,"Ponca City, OK"
50,2019-02-27 23:41:24+00:00,"hi abdulha49664520, thanks for following me! my purpose is to help those suffering from depression and anxiety! check out the day bliss challenge to get you on the right path to finding your bliss!","Minnesota, USA"
51,2019-02-27 23:41:15+00:00,doing away with the senate filibuster would go a long way towards curing your depression and our climate change problem,"Portland, OR"
52,2019-02-27 23:40:53+00:00,"depression has taken most things from my life and if this new treatment doesn't work, i'mma defintely become a statistic at some poin",USA
53,2019-02-27 23:40:48+00:00,yooooooo + hours deep in snow and winter depression and my room just lost wifi how's everyone else doin,that town in Oregon
54,2019-02-27 23:40:10+00:00,are you disputed sibling abuse in your childhood? recovery is possible.,AMERICA 
55,2019-02-27 23:40:06+00:00,"due to todays events, i have slipped into depressio","Fort Worth, TX"
56,2019-02-27 23:40:03+00:00,"will your sun ever shine again? or, a life filled with pain? - via","Virginia Beach, VA"
57,2019-02-27 23:39:06+00:00,when you depression super hard and by the time you decide to cook foods all your foods has gone bad &gt;,"Princeton, NJ"
58,2019-02-27 23:38:33+00:00,my seasonal depression this year was almost non-existent when it used to feel unbearable. living in a warm and beautiful place like this has done wonders for me in that respect,"San Diego, CA"
59,2019-02-27 23:38:01+00:00,"love you, man. i struggle with depression, too. be well.",Pennsylvania
60,2019-02-27 23:37:58+00:00,"cbd could be part of the next wave of antidepressants, suggests study",Texas
